# en | da | de | pl | el | fr | es | it | sv | nl
# Discover, chat, profile, server messages, notification titles
Clear search | Ryd søgning | Suche löschen | Wyczyść wyszukiwanie | Καθαρισμός αναζήτησης | Effacer la recherche | Borrar búsqueda | Cancella ricerca | Rensa sökning | Zoekopdracht wissen
This booking can't be changed. | Bookingen kan ikke ændres. | Diese Buchung kann nicht geändert werden. | Tej rezerwacji nie można zmienić. | Η κράτηση δεν μπορεί να αλλάξει. | Cette réservation ne peut pas être modifiée. | Esta reserva no se puede cambiar. | Questa prenotazione non può essere modificata. | Bokningen kan inte ändras. | Deze boeking kan niet worden gewijzigd.
This booking can no longer be cancelled. | Bookingen kan ikke længere aflyses. | Diese Buchung kann nicht mehr storniert werden. | Tej rezerwacji nie można już anulować. | Η κράτηση δεν μπορεί πλέον να ακυρωθεί. | Cette réservation ne peut plus être annulée. | Esta reserva ya no se puede cancelar. | Questa prenotazione non può più essere annullata. | Bokningen kan inte längre avbokas. | Deze boeking kan niet meer worden geannuleerd.
This booking is no longer awaiting payment. | Bookingen afventer ikke længere betaling. | Diese Buchung wartet nicht mehr auf Zahlung. | Ta rezerwacja nie czeka już na płatność. | Η κράτηση δεν περιμένει πλέον πληρωμή. | Cette réservation n'attend plus de paiement. | Esta reserva ya no está pendiente de pago. | Questa prenotazione non è più in attesa di pagamento. | Bokningen väntar inte längre på betalning. | Deze boeking wacht niet meer op betaling.
This booking was paid by card. | Bookingen blev betalt med kort. | Diese Buchung wurde mit Karte bezahlt. | Ta rezerwacja została opłacona kartą. | Η κράτηση πληρώθηκε με κάρτα. | Cette réservation a été payée par carte. | Esta reserva se pagó con tarjeta. | Questa prenotazione è stata pagata con carta. | Bokningen betalades med kort. | Deze boeking is met een kaart betaald.
This dispute is already resolved. | Sagen er allerede afgjort. | Dieser Fall ist bereits geklärt. | Ten spór został już rozstrzygnięty. | Η διαφορά έχει ήδη επιλυθεί. | Ce litige est déjà résolu. | Esta disputa ya está resuelta. | Questa contestazione è già risolta. | Tvisten är redan löst. | Dit geschil is al opgelost.
This order is not pending. | Bestillingen afventer ikke. | Diese Bestellung ist nicht offen. | To zamówienie nie oczekuje. | Η παραγγελία δεν είναι σε αναμονή. | Cette commande n'est pas en attente. | Este pedido no está pendiente. | Questo ordine non è in sospeso. | Beställningen väntar inte. | Deze bestelling staat niet open.
This rating has already been disputed. | Der er allerede klaget over denne bedømmelse. | Diese Bewertung wurde bereits angefochten. | Ta ocena została już zakwestionowana. | Η βαθμολογία έχει ήδη αμφισβητηθεί. | Cette note a déjà été contestée. | Esta valoración ya ha sido impugnada. | Questa valutazione è già stata contestata. | Betyget har redan bestridits. | Deze beoordeling is al betwist.
This request has already been handled. | Forespørgslen er allerede håndteret. | Diese Anfrage wurde bereits bearbeitet. | Ta prośba została już obsłużona. | Το αίτημα έχει ήδη διεκπεραιωθεί. | Cette demande a déjà été traitée. | Esta solicitud ya se ha gestionado. | Questa richiesta è già stata gestita. | Förfrågan är redan hanterad. | Deze aanvraag is al afgehandeld.
This request is not pending. | Forespørgslen afventer ikke. | Diese Anfrage ist nicht offen. | Ta prośba nie oczekuje. | Το αίτημα δεν είναι σε αναμονή. | Cette demande n'est pas en attente. | Esta solicitud no está pendiente. | Questa richiesta non è in sospeso. | Förfrågan väntar inte. | Deze aanvraag staat niet open.
This studio has turned off check-in. | Studiet har slået tjek ind fra. | Dieses Studio hat den Check-in ausgeschaltet. | To studio wyłączyło zameldowanie. | Αυτό το στούντιο έχει απενεργοποιήσει το check-in. | Ce studio a désactivé l'enregistrement. | Este estudio ha desactivado el check-in. | Questo studio ha disattivato il check-in. | Studion har stängt av incheckning. | Deze studio heeft inchecken uitgezet.
This studio only accepts payment in the app. | Studiet tager kun imod betaling i appen. | Dieses Studio akzeptiert nur Zahlungen in der App. | To studio przyjmuje tylko płatności w aplikacji. | Αυτό το στούντιο δέχεται μόνο πληρωμή μέσα από την εφαρμογή. | Ce studio n'accepte que le paiement dans l'app. | Este estudio solo acepta pagos en la app. | Questo studio accetta solo pagamenti nell'app. | Studion tar bara emot betalning i appen. | Deze studio accepteert alleen betaling in de app.
Too many requests. Please try again later. | For mange forespørgsler. Prøv igen senere. | Zu viele Anfragen. Bitte versuche es später erneut. | Zbyt wiele żądań. Spróbuj ponownie później. | Πάρα πολλά αιτήματα. Δοκίμασε ξανά αργότερα. | Trop de requêtes. Réessaie plus tard. | Demasiadas solicitudes. Inténtalo más tarde. | Troppe richieste. Riprova più tardi. | För många förfrågningar. Försök igen senare. | Te veel verzoeken. Probeer het later opnieuw.
Unknown session type. | Ukendt sessionstype. | Unbekannte Session-Art. | Nieznany rodzaj sesji. | Άγνωστος τύπος συνεδρίας. | Type de session inconnu. | Tipo de sesión desconocido. | Tipo di sessione sconosciuto. | Okänd sessionstyp. | Onbekend soort sessie.
Unknown promotion package. | Ukendt promoveringspakke. | Unbekanntes Werbepaket. | Nieznany pakiet promocji. | Άγνωστο πακέτο προβολής. | Formule de mise en avant inconnue. | Paquete de promoción desconocido. | Pacchetto promozione sconosciuto. | Okänt marknadsföringspaket. | Onbekend promotiepakket.
Write a message first. | Skriv en besked først. | Schreib zuerst eine Nachricht. | Najpierw napisz wiadomość. | Γράψε πρώτα ένα μήνυμα. | Écris d'abord un message. | Escribe un mensaje primero. | Scrivi prima un messaggio. | Skriv ett meddelande först. | Schrijf eerst een bericht.
Write a reply first. | Skriv et svar først. | Schreib zuerst eine Antwort. | Najpierw napisz odpowiedź. | Γράψε πρώτα μια απάντηση. | Écris d'abord une réponse. | Escribe una respuesta primero. | Scrivi prima una risposta. | Skriv ett svar först. | Schrijf eerst een antwoord.
You already have 5 open requests. Please continue in one of them. | Du har allerede 5 åbne henvendelser. Fortsæt i en af dem. | Du hast bereits 5 offene Anfragen. Bitte mach in einer davon weiter. | Masz już 5 otwartych zgłoszeń. Kontynuuj w jednym z nich. | Έχεις ήδη 5 ανοιχτά αιτήματα. Συνέχισε σε ένα από αυτά. | Tu as déjà 5 demandes ouvertes. Continue dans l'une d'elles. | Ya tienes 5 solicitudes abiertas. Continúa en una de ellas. | Hai già 5 richieste aperte. Continua in una di queste. | Du har redan 5 öppna ärenden. Fortsätt i ett av dem. | Je hebt al 5 open aanvragen. Ga verder in een daarvan.
You already have a studio. | Du har allerede et studie. | Du hast bereits ein Studio. | Masz już studio. | Έχεις ήδη στούντιο. | Tu as déjà un studio. | Ya tienes un estudio. | Hai già uno studio. | Du har redan en studio. | Je hebt al een studio.
You can check in from 1 hour before your session until it ends. | Du kan tjekke ind fra 1 time før din session, indtil den slutter. | Du kannst ab 1 Stunde vor deiner Session bis zu ihrem Ende einchecken. | Możesz się zameldować od godziny przed sesją do jej końca. | Μπορείς να κάνεις check-in από 1 ώρα πριν τη συνεδρία μέχρι να τελειώσει. | Tu peux t'enregistrer d'1 heure avant ta session jusqu'à sa fin. | Puedes hacer check-in desde 1 hora antes de la sesión hasta que termine. | Puoi fare il check-in da 1 ora prima della sessione fino alla fine. | Du kan checka in från 1 timme före sessionen tills den slutar. | Je kunt inchecken vanaf 1 uur voor je sessie tot die afloopt.
You can confirm cash once the session has started. | Du kan bekræfte kontanter, når sessionen er startet. | Du kannst Bargeld bestätigen, sobald die Session begonnen hat. | Gotówkę możesz potwierdzić po rozpoczęciu sesji. | Μπορείς να επιβεβαιώσεις τα μετρητά μόλις ξεκινήσει η συνεδρία. | Tu peux confirmer les espèces une fois la session commencée. | Puedes confirmar el efectivo cuando empiece la sesión. | Puoi confermare i contanti una volta iniziata la sessione. | Du kan bekräfta kontanter när sessionen har börjat. | Je kunt contant geld bevestigen zodra de sessie is begonnen.
You can only report a problem on a confirmed or completed booking. | Du kan kun anmelde et problem på en bekræftet eller gennemført booking. | Du kannst nur bei bestätigten oder abgeschlossenen Buchungen ein Problem melden. | Problem można zgłosić tylko przy potwierdzonej lub zakończonej rezerwacji. | Μπορείς να αναφέρεις πρόβλημα μόνο σε επιβεβαιωμένη ή ολοκληρωμένη κράτηση. | Tu ne peux signaler un problème que sur une réservation confirmée ou terminée. | Solo puedes informar de un problema en reservas confirmadas o completadas. | Puoi segnalare un problema solo su una prenotazione confermata o conclusa. | Du kan bara rapportera ett problem på en bekräftad eller genomförd bokning. | Je kunt alleen een probleem melden bij een bevestigde of voltooide boeking.
You can rate a request once it is closed. | Du kan bedømme en henvendelse, når den er lukket. | Du kannst eine Anfrage bewerten, sobald sie geschlossen ist. | Zgłoszenie możesz ocenić po jego zamknięciu. | Μπορείς να βαθμολογήσεις ένα αίτημα όταν κλείσει. | Tu peux noter une demande une fois clôturée. | Puedes valorar una solicitud cuando esté cerrada. | Puoi valutare una richiesta quando è chiusa. | Du kan betygsätta ett ärende när det är stängt. | Je kunt een aanvraag beoordelen zodra die gesloten is.
You can rate the artist after the session is completed. | Du kan bedømme kunstneren, når sessionen er gennemført. | Du kannst den Artist nach Abschluss der Session bewerten. | Artystę możesz ocenić po zakończeniu sesji. | Μπορείς να βαθμολογήσεις τον καλλιτέχνη μετά την ολοκλήρωση της συνεδρίας. | Tu peux noter l'artiste une fois la session terminée. | Puedes valorar al artista cuando termine la sesión. | Puoi valutare l'artista dopo la conclusione della sessione. | Du kan betygsätta artisten när sessionen är genomförd. | Je kunt de artiest beoordelen na afloop van de sessie.
You can start 20 new conversations per day. Try again tomorrow. | Du kan starte 20 nye samtaler om dagen. Prøv igen i morgen. | Du kannst 20 neue Unterhaltungen pro Tag beginnen. Versuche es morgen wieder. | Możesz rozpocząć 20 nowych rozmów dziennie. Spróbuj jutro. | Μπορείς να ξεκινάς 20 νέες συνομιλίες την ημέρα. Δοκίμασε αύριο. | Tu peux lancer 20 nouvelles conversations par jour. Réessaie demain. | Puedes iniciar 20 conversaciones nuevas al día. Inténtalo mañana. | Puoi avviare 20 nuove conversazioni al giorno. Riprova domani. | Du kan starta 20 nya konversationer per dag. Försök igen i morgon. | Je kunt 20 nieuwe gesprekken per dag starten. Probeer het morgen opnieuw.
Your studio must be approved before it can go live. | Dit studie skal være godkendt, før det kan gå live. | Dein Studio muss freigegeben sein, bevor es live gehen kann. | Studio musi zostać zatwierdzone przed publikacją. | Το στούντιο πρέπει να εγκριθεί πριν γίνει ενεργό. | Ton studio doit être validé avant d'être en ligne. | Tu estudio debe estar aprobado antes de publicarse. | Lo studio deve essere approvato prima di andare online. | Din studio måste vara godkänd innan den kan gå live. | Je studio moet goedgekeurd zijn voordat hij live kan.
# Notification titles
Application not approved | Ansøgning ikke godkendt | Bewerbung nicht freigegeben | Wniosek niezatwierdzony | Η αίτηση δεν εγκρίθηκε | Candidature refusée | Solicitud no aprobada | Candidatura non approvata | Ansökan inte godkänd | Aanmelding niet goedgekeurd
Booking cancelled | Booking aflyst | Buchung storniert | Rezerwacja anulowana | Η κράτηση ακυρώθηκε | Réservation annulée | Reserva cancelada | Prenotazione annullata | Bokning avbokad | Boeking geannuleerd
Booking cancelled by studio | Booking aflyst af studiet | Buchung vom Studio storniert | Rezerwacja anulowana przez studio | Η κράτηση ακυρώθηκε από το στούντιο | Réservation annulée par le studio | Reserva cancelada por el estudio | Prenotazione annullata dallo studio | Bokning avbokad av studion | Boeking geannuleerd door de studio
Booking confirmed | Booking bekræftet | Buchung bestätigt | Rezerwacja potwierdzona | Η κράτηση επιβεβαιώθηκε | Réservation confirmée | Reserva confirmada | Prenotazione confermata | Bokning bekräftad | Boeking bevestigd
Booking moved | Booking flyttet | Buchung verschoben | Rezerwacja przeniesiona | Η κράτηση μετακινήθηκε | Réservation déplacée | Reserva cambiada | Prenotazione spostata | Bokning flyttad | Boeking verplaatst
Changes requested | Ændringer ønsket | Änderungen angefragt | Wymagane zmiany | Ζητήθηκαν αλλαγές | Modifications demandées | Cambios solicitados | Modifiche richieste | Ändringar begärda | Wijzigingen gevraagd
EasySesh support replied | EasySesh support har svaret | Der EasySesh-Support hat geantwortet | Pomoc EasySesh odpowiedziała | Η υποστήριξη του EasySesh απάντησε | L'assistance EasySesh a répondu | El soporte de EasySesh ha respondido | L'assistenza EasySesh ha risposto | EasySesh support har svarat | EasySesh-support heeft gereageerd
Final notice: unpaid platform fees | Sidste varsel: ubetalte platformgebyrer | Letzte Mahnung: offene Plattformgebühren | Ostateczne wezwanie: nieopłacone opłaty platformy | Τελική ειδοποίηση: απλήρωτες χρεώσεις πλατφόρμας | Dernier avis : frais de plateforme impayés | Último aviso: tarifas de plataforma impagadas | Ultimo avviso: commissioni non pagate | Sista påminnelse: obetalda plattformsavgifter | Laatste aanmaning: onbetaalde platformkosten
New booking | Ny booking | Neue Buchung | Nowa rezerwacja | Νέα κράτηση | Nouvelle réservation | Nueva reserva | Nuova prenotazione | Ny bokning | Nieuwe boeking
New booking request | Ny bookingforespørgsel | Neue Buchungsanfrage | Nowa prośba o rezerwację | Νέο αίτημα κράτησης | Nouvelle demande de réservation | Nueva solicitud de reserva | Nuova richiesta di prenotazione | Ny bokningsförfrågan | Nieuwe boekingsaanvraag
Payment problem | Betalingsproblem | Zahlungsproblem | Problem z płatnością | Πρόβλημα πληρωμής | Problème de paiement | Problema con el pago | Problema di pagamento | Betalningsproblem | Betaalprobleem
Payout sent | Udbetaling sendt | Auszahlung gesendet | Wypłata wysłana | Η πληρωμή στάλθηκε | Versement envoyé | Pago enviado | Pagamento inviato | Utbetalning skickad | Uitbetaling verstuurd
Platform fee added | Platformgebyr tilføjet | Plattformgebühr hinzugefügt | Dodano opłatę platformy | Προστέθηκε χρέωση πλατφόρμας | Frais de plateforme ajoutés | Tarifa de plataforma añadida | Commissione aggiunta | Plattformsavgift tillagd | Platformkosten toegevoegd
Problem reported | Problem anmeldt | Problem gemeldet | Zgłoszono problem | Αναφέρθηκε πρόβλημα | Problème signalé | Problema notificado | Problema segnalato | Problem rapporterat | Probleem gemeld
Refund on its way | Refundering på vej | Erstattung unterwegs | Zwrot w drodze | Η επιστροφή είναι καθ' οδόν | Remboursement en cours | Reembolso en camino | Rimborso in arrivo | Återbetalning på väg | Terugbetaling onderweg
Reminder: platform fee invoice due | Påmindelse: faktura for platformgebyr forfalder | Erinnerung: Rechnung für Plattformgebühren fällig | Przypomnienie: termin faktury za opłaty platformy | Υπενθύμιση: λήγει τιμολόγιο χρεώσεων πλατφόρμας | Rappel : facture de frais de plateforme à payer | Recordatorio: vence la factura de tarifas | Promemoria: fattura commissioni in scadenza | Påminnelse: faktura för plattformsavgifter förfaller | Herinnering: factuur platformkosten vervalt
Request declined | Forespørgsel afvist | Anfrage abgelehnt | Prośba odrzucona | Το αίτημα απορρίφθηκε | Demande refusée | Solicitud rechazada | Richiesta rifiutata | Förfrågan avböjd | Aanvraag geweigerd
Request expired | Forespørgsel udløbet | Anfrage abgelaufen | Prośba wygasła | Το αίτημα έληξε | Demande expirée | Solicitud caducada | Richiesta scaduta | Förfrågan har gått ut | Aanvraag verlopen
Studio suspended | Studie suspenderet | Studio gesperrt | Studio zawieszone | Το στούντιο ανεστάλη | Studio suspendu | Estudio suspendido | Studio sospeso | Studio avstängd | Studio geschorst
Studio suspended – unpaid platform fees | Studie suspenderet – ubetalte platformgebyrer | Studio gesperrt – offene Plattformgebühren | Studio zawieszone – nieopłacone opłaty | Το στούντιο ανεστάλη – απλήρωτες χρεώσεις | Studio suspendu – frais impayés | Estudio suspendido: tarifas impagadas | Studio sospeso – commissioni non pagate | Studio avstängd – obetalda avgifter | Studio geschorst – onbetaalde kosten
We're on it | Vi er i gang | Wir kümmern uns darum | Zajmujemy się tym | Το αναλαμβάνουμε | On s'en occupe | Estamos en ello | Ce ne stiamo occupando | Vi tar hand om det | We zijn ermee bezig
Your account is active again | Din konto er aktiv igen | Dein Konto ist wieder aktiv | Twoje konto jest znów aktywne | Ο λογαριασμός σου είναι ξανά ενεργός | Ton compte est de nouveau actif | Tu cuenta vuelve a estar activa | Il tuo account è di nuovo attivo | Ditt konto är aktivt igen | Je account is weer actief
Your studio has been suspended | Dit studie er blevet suspenderet | Dein Studio wurde gesperrt | Twoje studio zostało zawieszone | Το στούντιό σου ανεστάλη | Ton studio a été suspendu | Tu estudio ha sido suspendido | Il tuo studio è stato sospeso | Din studio har stängts av | Je studio is geschorst
Your studio is live | Dit studie er live | Dein Studio ist live | Twoje studio jest aktywne | Το στούντιό σου είναι ενεργό | Ton studio est en ligne | Tu estudio está publicado | Il tuo studio è online | Din studio är live | Je studio is live
Your studio is visible again | Dit studie er synligt igen | Dein Studio ist wieder sichtbar | Twoje studio jest znów widoczne | Το στούντιό σου είναι ξανά ορατό | Ton studio est de nouveau visible | Tu estudio vuelve a estar visible | Il tuo studio è di nuovo visibile | Din studio är synlig igen | Je studio is weer zichtbaar
