# en | da | de | pl | el | fr | es | it | sv | nl
Welcome to EasySesh | Velkommen til EasySesh | Willkommen bei EasySesh | Witaj w EasySesh | Καλώς ήρθατε στο EasySesh | Bienvenue sur EasySesh | Bienvenido a EasySesh | Benvenuto su EasySesh | Välkommen till EasySesh | Welkom bij EasySesh
Account & login | Konto og login | Konto & Anmeldung | Konto i logowanie | Λογαριασμός & σύνδεση | Compte et connexion | Cuenta e inicio de sesión | Account e accesso | Konto och inloggning | Account en inloggen
A booking | En booking | Eine Buchung | Rezerwacja | Μια κράτηση | Une réservation | Una reserva | Una prenotazione | En bokning | Een boeking
Payments & refunds | Betalinger og refusioner | Zahlungen & Erstattungen | Płatności i zwroty | Πληρωμές & επιστροφές | Paiements et remboursements | Pagos y reembolsos | Pagamenti e rimborsi | Betalningar och återbetalningar | Betalingen en terugbetalingen
My studio listing | Min studieannonce | Mein Studio-Profil | Moje ogłoszenie studia | Η καταχώριση του στούντιού μου | Mon annonce de studio | Mi anuncio de estudio | Il mio annuncio | Min studioannons | Mijn studiovermelding
Something isn't working | Noget virker ikke | Etwas funktioniert nicht | Coś nie działa | Κάτι δεν λειτουργεί | Quelque chose ne marche pas | Algo no funciona | Qualcosa non funziona | Något fungerar inte | Er werkt iets niet
Something else | Noget andet | Etwas anderes | Coś innego | Κάτι άλλο | Autre chose | Otra cosa | Altro | Något annat | Iets anders
Mark as solved | Markér som løst | Als gelöst markieren | Oznacz jako rozwiązane | Σήμανση ως επιλυμένο | Marquer comme résolu | Marcar como resuelto | Segna come risolto | Markera som löst | Markeren als opgelost
Close this request? | Luk denne henvendelse? | Anfrage schließen? | Zamknąć to zgłoszenie? | Κλείσιμο αιτήματος; | Clôturer cette demande ? | ¿Cerrar esta solicitud? | Chiudere questa richiesta? | Stänga ärendet? | Dit verzoek sluiten?
Waiting for EasySesh | Venter på EasySesh | Wartet auf EasySesh | Czeka na EasySesh | Αναμονή για EasySesh | En attente d'EasySesh | Esperando a EasySesh | In attesa di EasySesh | Väntar på EasySesh | Wacht op EasySesh
EasySesh replied | EasySesh har svaret | EasySesh hat geantwortet | EasySesh odpowiedział | Το EasySesh απάντησε | EasySesh a répondu | EasySesh respondió | EasySesh ha risposto | EasySesh har svarat | EasySesh heeft geantwoord
Talk to EasySesh | Skriv til EasySesh | Schreib EasySesh | Napisz do EasySesh | Μίλα με το EasySesh | Contacte EasySesh | Habla con EasySesh | Scrivi a EasySesh | Prata med EasySesh | Praat met EasySesh
Contact EasySesh support | Kontakt EasySesh support | EasySesh-Support kontaktieren | Kontakt z pomocą EasySesh | Επικοινωνία με EasySesh | Contacter l'assistance EasySesh | Contactar con soporte de EasySesh | Contatta l'assistenza EasySesh | Kontakta EasySesh support | Contact met EasySesh-support
Sign out of EasySesh? | Log ud af EasySesh? | Von EasySesh abmelden? | Wylogować z EasySesh? | Αποσύνδεση από το EasySesh; | Se déconnecter d'EasySesh ? | ¿Cerrar sesión en EasySesh? | Uscire da EasySesh? | Logga ut från EasySesh? | Uitloggen bij EasySesh?
Good morning | Godmorgen | Guten Morgen | Dzień dobry | Καλημέρα | Bonjour | Buenos días | Buongiorno | God morgon | Goedemorgen
Good afternoon | God eftermiddag | Guten Tag | Dzień dobry | Καλό απόγευμα | Bon après-midi | Buenas tardes | Buon pomeriggio | God eftermiddag | Goedemiddag
Good evening | Godaften | Guten Abend | Dobry wieczór | Καλησπέρα | Bonsoir | Buenas noches | Buonasera | God kväll | Goedenavond
Your listing | Din annonce | Dein Profil | Twoje ogłoszenie | Η καταχώρισή σου | Ton annonce | Tu anuncio | Il tuo annuncio | Din annons | Jouw vermelding
Photos, gear, rooms | Billeder, udstyr, rum | Fotos, Equipment, Räume | Zdjęcia, sprzęt, pomieszczenia | Φωτογραφίες, εξοπλισμός, χώροι | Photos, matériel, salles | Fotos, equipo, salas | Foto, attrezzatura, sale | Bilder, utrustning, rum | Foto's, apparatuur, ruimtes
Sessions & add-ons | Sessions og tilvalg | Sessions & Extras | Sesje i dodatki | Συνεδρίες & πρόσθετα | Sessions et options | Sesiones y extras | Sessioni ed extra | Sessioner och tillägg | Sessies en extra's
When you're bookable | Hvornår du kan bookes | Wann du buchbar bist | Kiedy można cię rezerwować | Πότε είσαι διαθέσιμος | Quand tu es réservable | Cuándo se puede reservar | Quando sei prenotabile | När du kan bokas | Wanneer je boekbaar bent
Bank details | Bankoplysninger | Bankverbindung | Dane bankowe | Τραπεζικά στοιχεία | Coordonnées bancaires | Datos bancarios | Dati bancari | Bankuppgifter | Bankgegevens
Notifications & data | Notifikationer og data | Mitteilungen & Daten | Powiadomienia i dane | Ειδοποιήσεις & δεδομένα | Notifications et données | Notificaciones y datos | Notifiche e dati | Aviseringar och data | Meldingen en gegevens
Agreement | Aftale | Vereinbarung | Umowa | Συμφωνία | Contrat | Acuerdo | Accordo | Avtal | Overeenkomst
Studio terms | Studievilkår | Studiobedingungen | Warunki studia | Όροι στούντιο | Conditions studio | Condiciones del estudio | Condizioni studio | Studiovillkor | Studiovoorwaarden
Preview | Forhåndsvisning | Vorschau | Podgląd | Προεπισκόπηση | Aperçu | Vista previa | Anteprima | Förhandsvisning | Voorbeeld
Preview public profile | Se offentlig profil | Öffentliches Profil ansehen | Podgląd profilu publicznego | Προεπισκόπηση δημόσιου προφίλ | Aperçu du profil public | Ver perfil público | Anteprima profilo pubblico | Förhandsvisa offentlig profil | Openbaar profiel bekijken
From / h | Fra / t | Ab / Std. | Od / h | Από / ώρα | Dès / h | Desde / h | Da / h | Från / tim | Vanaf / u
Earned this month | Tjent denne måned | Diesen Monat verdient | Zarobione w tym miesiącu | Έσοδα αυτού του μήνα | Gagné ce mois-ci | Ganado este mes | Guadagnato questo mese | Intjänat denna månad | Verdiend deze maand
Live on EasySesh | Live på EasySesh | Live auf EasySesh | Aktywne w EasySesh | Live στο EasySesh | En ligne sur EasySesh | Activo en EasySesh | Online su EasySesh | Live på EasySesh | Live op EasySesh
Artists can find and book you. | Kunstnere kan finde og booke dig. | Künstler:innen können dich finden und buchen. | Artyści mogą cię znaleźć i zarezerwować. | Οι καλλιτέχνες μπορούν να σε βρουν και να κλείσουν. | Les artistes peuvent te trouver et réserver. | Los artistas pueden encontrarte y reservar. | Gli artisti possono trovarti e prenotare. | Artister kan hitta och boka dig. | Artiesten kunnen je vinden en boeken.
Hidden from search. Existing bookings are kept. | Skjult i søgning. Eksisterende bookinger bevares. | In der Suche verborgen. Bestehende Buchungen bleiben. | Ukryte w wyszukiwaniu. Istniejące rezerwacje pozostają. | Κρυφό από την αναζήτηση. Οι υπάρχουσες κρατήσεις διατηρούνται. | Masqué de la recherche. Les réservations existantes sont conservées. | Oculto en la búsqueda. Las reservas existentes se mantienen. | Nascosto dalla ricerca. Le prenotazioni esistenti restano. | Dold i sökningen. Befintliga bokningar finns kvar. | Verborgen in zoekresultaten. Bestaande boekingen blijven.
No upcoming sessions | Ingen kommende sessions | Keine anstehenden Sessions | Brak nadchodzących sesji | Δεν υπάρχουν επερχόμενες συνεδρίες | Aucune session à venir | No hay próximas sesiones | Nessuna sessione in arrivo | Inga kommande sessioner | Geen komende sessies
New bookings show up here the moment artists book. | Nye bookinger vises her, så snart kunstnere booker. | Neue Buchungen erscheinen hier, sobald jemand bucht. | Nowe rezerwacje pojawią się tu od razu. | Οι νέες κρατήσεις εμφανίζονται εδώ αμέσως. | Les nouvelles réservations apparaissent ici dès qu'un artiste réserve. | Las nuevas reservas aparecen aquí al instante. | Le nuove prenotazioni compaiono qui appena arrivano. | Nya bokningar visas här direkt. | Nieuwe boekingen verschijnen hier meteen.
Earnings & payouts | Indtjening og udbetalinger | Einnahmen & Auszahlungen | Zarobki i wypłaty | Έσοδα & πληρωμές | Revenus et versements | Ingresos y pagos | Guadagni e pagamenti | Intäkter och utbetalningar | Inkomsten en uitbetalingen
Past bookings | Tidligere bookinger | Vergangene Buchungen | Minione rezerwacje | Προηγούμενες κρατήσεις | Réservations passées | Reservas pasadas | Prenotazioni passate | Tidigare bokningar | Afgelopen boekingen
Prices & services | Priser og ydelser | Preise & Leistungen | Ceny i usługi | Τιμές & υπηρεσίες | Tarifs et services | Precios y servicios | Prezzi e servizi | Priser och tjänster | Prijzen en diensten
Block time | Blokér tid | Zeit blockieren | Zablokuj czas | Μπλοκάρισμα ώρας | Bloquer un créneau | Bloquear horario | Blocca orario | Blockera tid | Tijd blokkeren
Nothing booked | Intet booket | Nichts gebucht | Brak rezerwacji | Καμία κράτηση | Rien de réservé | Nada reservado | Niente prenotato | Inget bokat | Niets geboekt
This day is wide open for sessions. | Denne dag er helt åben for sessions. | Dieser Tag ist komplett frei. | Ten dzień jest całkowicie wolny. | Αυτή η μέρα είναι εντελώς ελεύθερη. | Cette journée est entièrement libre. | Este día está totalmente libre. | Questa giornata è completamente libera. | Den här dagen är helt ledig. | Deze dag is helemaal vrij.
The studio is closed this day. | Studiet er lukket denne dag. | Das Studio ist an diesem Tag geschlossen. | Studio jest tego dnia zamknięte. | Το στούντιο είναι κλειστό αυτή τη μέρα. | Le studio est fermé ce jour-là. | El estudio está cerrado este día. | Lo studio è chiuso questo giorno. | Studion är stängd den här dagen. | De studio is deze dag gesloten.
Blocked | Blokeret | Blockiert | Zablokowane | Μπλοκαρισμένο | Bloqué | Bloqueado | Bloccato | Blockerad | Geblokkeerd
Previous month | Forrige måned | Vorheriger Monat | Poprzedni miesiąc | Προηγούμενος μήνας | Mois précédent | Mes anterior | Mese precedente | Föregående månad | Vorige maand
Next month | Næste måned | Nächster Monat | Następny miesiąc | Επόμενος μήνας | Mois suivant | Mes siguiente | Mese successivo | Nästa månad | Volgende maand
