# en | da | de | pl | el | fr | es | it | sv | nl
# Sign-up, support, studio editor, studio dashboard, promotions
Recommended. Artists can check in in the app when they arrive and you can confirm it. It protects both of you against fraud and helps EasySesh settle disputes. | Anbefales. Kunstnere kan tjekke ind i appen, når de ankommer, og du kan bekræfte det. Det beskytter jer begge mod svindel og hjælper EasySesh med at afgøre uenigheder. | Empfohlen. Artists können bei Ankunft in der App einchecken und du kannst es bestätigen. Das schützt euch beide vor Betrug und hilft EasySesh, Streitfälle zu klären. | Zalecane. Artyści mogą zameldować się w aplikacji po przybyciu, a Ty możesz to potwierdzić. Chroni to was oboje przed oszustwem i pomaga EasySesh rozstrzygać spory. | Προτείνεται. Οι καλλιτέχνες κάνουν check-in στην εφαρμογή όταν φτάνουν και εσύ το επιβεβαιώνεις. Προστατεύει και τους δύο από απάτη και βοηθά το EasySesh να επιλύει διαφορές. | Recommandé. Les artistes peuvent s'enregistrer dans l'app à leur arrivée et tu peux le confirmer. Cela vous protège contre la fraude et aide EasySesh à régler les litiges. | Recomendado. Los artistas pueden hacer check-in en la app al llegar y tú puedes confirmarlo. Os protege del fraude y ayuda a EasySesh a resolver disputas. | Consigliato. Gli artisti possono fare il check-in nell'app all'arrivo e tu puoi confermarlo. Vi protegge dalle frodi e aiuta EasySesh a risolvere le contestazioni. | Rekommenderas. Artister kan checka in i appen när de kommer och du kan bekräfta det. Det skyddar er båda mot bedrägeri och hjälper EasySesh att lösa tvister. | Aanbevolen. Artiesten kunnen bij aankomst inchecken in de app en jij kunt het bevestigen. Het beschermt jullie tegen fraude en helpt EasySesh geschillen op te lossen.
Check-in is off. EasySesh can't promise artists a refund if something goes wrong, and artists see this before they book. Disputes are decided on the other evidence available. | Tjek ind er slået fra. EasySesh kan ikke love kunstnere en refundering, hvis noget går galt, og kunstnere ser dette, før de booker. Uenigheder afgøres ud fra den øvrige dokumentation. | Check-in ist aus. EasySesh kann Artists keine Erstattung versprechen, wenn etwas schiefgeht, und Artists sehen das vor der Buchung. Streitfälle werden anhand der übrigen Nachweise entschieden. | Zameldowanie jest wyłączone. EasySesh nie może obiecać artystom zwrotu, jeśli coś pójdzie nie tak, a artyści widzą to przed rezerwacją. Spory są rozstrzygane na podstawie innych dowodów. | Το check-in είναι απενεργοποιημένο. Το EasySesh δεν μπορεί να υποσχεθεί επιστροφή χρημάτων στους καλλιτέχνες αν κάτι πάει στραβά, και οι καλλιτέχνες το βλέπουν πριν κλείσουν. Οι διαφορές κρίνονται με τα υπόλοιπα στοιχεία. | L'enregistrement est désactivé. EasySesh ne peut pas promettre de remboursement aux artistes en cas de problème, et ils le voient avant de réserver. Les litiges sont tranchés sur les autres éléments disponibles. | El check-in está desactivado. EasySesh no puede prometer reembolsos a los artistas si algo sale mal, y ellos lo ven antes de reservar. Las disputas se deciden con las demás pruebas disponibles. | Il check-in è disattivato. EasySesh non può promettere rimborsi agli artisti se qualcosa va storto, e gli artisti lo vedono prima di prenotare. Le contestazioni si decidono sulle altre prove disponibili. | Incheckning är avstängd. EasySesh kan inte lova artister återbetalning om något går fel, och artister ser detta innan de bokar. Tvister avgörs utifrån övriga bevis. | Inchecken staat uit. EasySesh kan artiesten geen terugbetaling beloven als er iets misgaat, en artiesten zien dit voordat ze boeken. Geschillen worden beslist op basis van het overige bewijs.
Scheduling | Planlægning | Planung | Planowanie | Προγραμματισμός | Planification | Planificación | Pianificazione | Schemaläggning | Planning
Min. notice: %lld h | Min. varsel: %lld t | Mindestvorlauf: %lld Std. | Min. wyprzedzenie: %lld godz. | Ελάχ. προειδοποίηση: %lld ώρ. | Préavis min. : %lld h | Antelación mín.: %lld h | Preavviso min.: %lld h | Min. framförhållning: %lld h | Min. vooraf: %lld u
Book up to %lld days ahead | Book op til %lld dage frem | Bis zu %lld Tage im Voraus buchbar | Rezerwacja do %lld dni naprzód | Κράτηση έως %lld μέρες νωρίτερα | Réservable jusqu'à %lld jours à l'avance | Reservas hasta %lld días antes | Prenotabile fino a %lld giorni prima | Boka upp till %lld dagar i förväg | Tot %lld dagen vooruit boeken
Buffer between sessions: %lld min | Pause mellem sessioner: %lld min | Puffer zwischen Sessions: %lld Min. | Przerwa między sesjami: %lld min | Διάλειμμα μεταξύ συνεδριών: %lld λεπ. | Battement entre sessions : %lld min | Margen entre sesiones: %lld min | Pausa tra le sessioni: %lld min | Buffert mellan sessioner: %lld min | Pauze tussen sessies: %lld min
Booking terms | Bookingvilkår | Buchungsbedingungen | Warunki rezerwacji | Όροι κράτησης | Conditions de réservation | Condiciones de reserva | Condizioni di prenotazione | Bokningsvillkor | Boekingsvoorwaarden
Overtime, damage, guests, recording rights… | Overtid, skader, gæster, optagerettigheder … | Überstunden, Schäden, Gäste, Aufnahmerechte … | Nadgodziny, szkody, goście, prawa do nagrań… | Υπερωρίες, ζημιές, επισκέπτες, δικαιώματα ηχογράφησης… | Dépassements, dégâts, invités, droits d'enregistrement… | Horas extra, daños, invitados, derechos de grabación… | Straordinari, danni, ospiti, diritti di registrazione… | Övertid, skador, gäster, inspelningsrättigheter … | Overtijd, schade, gasten, opnamerechten…
Payouts enabled | Udbetalinger aktiveret | Auszahlungen aktiviert | Wypłaty włączone | Οι πληρωμές ενεργοποιήθηκαν | Versements activés | Pagos activados | Pagamenti attivati | Utbetalningar aktiverade | Uitbetalingen actief
Payouts enabled to •••• %@ | Udbetalinger aktiveret til •••• %@ | Auszahlungen aktiviert an •••• %@ | Wypłaty na konto •••• %@ | Πληρωμές ενεργές προς •••• %@ | Versements activés vers •••• %@ | Pagos activados a •••• %@ | Pagamenti attivati su •••• %@ | Utbetalningar till •••• %@ | Uitbetalingen naar •••• %@
Payouts not set up yet | Udbetalinger er ikke sat op endnu | Auszahlungen noch nicht eingerichtet | Wypłaty nie są jeszcze skonfigurowane | Οι πληρωμές δεν έχουν ρυθμιστεί ακόμα | Versements pas encore configurés | Pagos aún no configurados | Pagamenti non ancora configurati | Utbetalningar är inte konfigurerade än | Uitbetalingen nog niet ingesteld
Account holder / company name | Kontohaver / firmanavn | Kontoinhaber / Firmenname | Właściciel konta / nazwa firmy | Κάτοχος λογαριασμού / επωνυμία | Titulaire du compte / société | Titular / nombre de empresa | Intestatario / ragione sociale | Kontoinnehavare / företagsnamn | Rekeninghouder / bedrijfsnaam
You're paid only after a session is completed: payouts are sent %lld days after each completed session, minus EasySesh's %lld%% platform fee. Platform fees for cash bookings are deducted from the same payouts. | Du får først penge, når en session er gennemført: udbetalinger sendes %lld dage efter hver gennemført session, minus EasySeshs platformgebyr på %lld %%. Platformgebyrer for kontantbookinger trækkes fra de samme udbetalinger. | Du wirst erst nach einer abgeschlossenen Session bezahlt: Auszahlungen erfolgen %lld Tage nach jeder abgeschlossenen Session, abzüglich der EasySesh-Plattformgebühr von %lld %%. Gebühren für Barbuchungen werden von denselben Auszahlungen abgezogen. | Wypłata następuje dopiero po zakończonej sesji: przelewamy ją %lld dni po każdej zakończonej sesji, minus opłata platformy EasySesh %lld%%. Opłaty za rezerwacje gotówkowe są potrącane z tych samych wypłat. | Πληρώνεσαι μόνο αφού ολοκληρωθεί η συνεδρία: οι πληρωμές στέλνονται %lld μέρες μετά από κάθε ολοκληρωμένη συνεδρία, μείον τη χρέωση πλατφόρμας %lld%% του EasySesh. Οι χρεώσεις για κρατήσεις με μετρητά αφαιρούνται από τις ίδιες πληρωμές. | Tu es payé seulement après une session terminée : les versements partent %lld jours après chaque session terminée, moins les frais de plateforme EasySesh de %lld %%. Les frais des réservations en espèces sont déduits de ces mêmes versements. | Solo cobras cuando la sesión se ha completado: los pagos se envían %lld días después de cada sesión completada, menos la tarifa de plataforma del %lld %% de EasySesh. Las tarifas de reservas en efectivo se descuentan de esos mismos pagos. | Vieni pagato solo dopo che la sessione è conclusa: i pagamenti partono %lld giorni dopo ogni sessione conclusa, meno la commissione EasySesh del %lld%%. Le commissioni sulle prenotazioni in contanti sono detratte dagli stessi pagamenti. | Du får betalt först när en session är genomförd: utbetalningar skickas %lld dagar efter varje genomförd session, minus EasySesh plattformsavgift på %lld %%. Avgifter för kontantbokningar dras från samma utbetalningar. | Je wordt pas betaald na een voltooide sessie: uitbetalingen gaan %lld dagen na elke voltooide sessie, min de EasySesh-platformkosten van %lld%%. Kosten voor contante boekingen worden van dezelfde uitbetalingen afgetrokken.
Opening… | Åbner … | Wird geöffnet … | Otwieranie… | Άνοιγμα… | Ouverture… | Abriendo… | Apertura… | Öppnar … | Openen…
Update bank details | Opdatér bankoplysninger | Bankdaten aktualisieren | Zaktualizuj dane bankowe | Ενημέρωση τραπεζικών στοιχείων | Mettre à jour les coordonnées bancaires | Actualizar datos bancarios | Aggiorna dati bancari | Uppdatera bankuppgifter | Bankgegevens bijwerken
Connect bank account | Tilknyt bankkonto | Bankkonto verbinden | Połącz konto bankowe | Σύνδεση τραπεζικού λογαριασμού | Relier un compte bancaire | Conectar cuenta bancaria | Collega conto bancario | Koppla bankkonto | Bankrekening koppelen
Bank details and identity checks are handled securely by Stripe, our payment provider. | Bankoplysninger og identitetstjek håndteres sikkert af Stripe, vores betalingsudbyder. | Bankdaten und Identitätsprüfungen werden sicher von Stripe, unserem Zahlungsanbieter, abgewickelt. | Dane bankowe i weryfikację tożsamości bezpiecznie obsługuje Stripe, nasz dostawca płatności. | Τα τραπεζικά στοιχεία και οι έλεγχοι ταυτότητας γίνονται με ασφάλεια από το Stripe, τον πάροχο πληρωμών μας. | Les coordonnées bancaires et les vérifications d'identité sont gérées en toute sécurité par Stripe, notre prestataire de paiement. | Los datos bancarios y la verificación de identidad los gestiona de forma segura Stripe, nuestro proveedor de pagos. | Dati bancari e verifiche d'identità sono gestiti in sicurezza da Stripe, il nostro fornitore di pagamenti. | Bankuppgifter och identitetskontroller hanteras säkert av Stripe, vår betalleverantör. | Bankgegevens en identiteitscontroles worden veilig afgehandeld door Stripe, onze betaalprovider.
Finish your listing and submit it. Our team checks every studio before it becomes visible. | Gør din profil færdig, og send den ind. Vores team tjekker alle studier, før de bliver synlige. | Stell dein Inserat fertig und reiche es ein. Unser Team prüft jedes Studio, bevor es sichtbar wird. | Dokończ ogłoszenie i wyślij je. Nasz zespół sprawdza każde studio, zanim stanie się widoczne. | Ολοκλήρωσε την καταχώριση και υπέβαλέ την. Η ομάδα μας ελέγχει κάθε στούντιο πριν γίνει ορατό. | Termine ton annonce et envoie-la. Notre équipe vérifie chaque studio avant sa publication. | Termina tu anuncio y envíalo. Nuestro equipo revisa cada estudio antes de que sea visible. | Completa l'annuncio e invialo. Il nostro team verifica ogni studio prima che diventi visibile. | Gör klart din annons och skicka in den. Vårt team kontrollerar varje studio innan den blir synlig. | Maak je vermelding af en stuur hem in. Ons team controleert elke studio voordat die zichtbaar wordt.
Thanks! We're reviewing your studio and will notify you, usually within 1–2 business days. | Tak! Vi gennemgår dit studie og giver dig besked, normalt inden for 1–2 hverdage. | Danke! Wir prüfen dein Studio und melden uns, meist innerhalb von 1–2 Werktagen. | Dzięki! Sprawdzamy Twoje studio i damy znać, zwykle w ciągu 1–2 dni roboczych. | Ευχαριστούμε! Ελέγχουμε το στούντιό σου και θα σε ειδοποιήσουμε, συνήθως σε 1–2 εργάσιμες. | Merci ! Nous examinons ton studio et te préviendrons, en général sous 1 à 2 jours ouvrés. | ¡Gracias! Estamos revisando tu estudio y te avisaremos, normalmente en 1–2 días laborables. | Grazie! Stiamo verificando lo studio e ti avviseremo, di solito entro 1–2 giorni lavorativi. | Tack! Vi granskar din studio och hör av oss, oftast inom 1–2 arbetsdagar. | Bedankt! We beoordelen je studio en laten het je weten, meestal binnen 1–2 werkdagen.
We need a few changes before we can approve your studio. Update your listing and resubmit. | Vi har brug for et par ændringer, før vi kan godkende dit studie. Opdatér din profil, og send den igen. | Wir brauchen ein paar Änderungen, bevor wir dein Studio freigeben können. Aktualisiere dein Inserat und reiche es erneut ein. | Potrzebujemy kilku zmian przed zatwierdzeniem studia. Zaktualizuj ogłoszenie i wyślij ponownie. | Χρειαζόμαστε μερικές αλλαγές πριν εγκρίνουμε το στούντιο. Ενημέρωσε την καταχώριση και υπέβαλέ τη ξανά. | Il nous faut quelques modifications avant de valider ton studio. Mets à jour ton annonce et renvoie-la. | Necesitamos algunos cambios antes de aprobar tu estudio. Actualiza tu anuncio y vuelve a enviarlo. | Servono alcune modifiche prima di approvare lo studio. Aggiorna l'annuncio e invialo di nuovo. | Vi behöver några ändringar innan vi kan godkänna din studio. Uppdatera annonsen och skicka in igen. | We hebben een paar wijzigingen nodig voordat we je studio goedkeuren. Werk je vermelding bij en stuur hem opnieuw in.
Unfortunately your studio wasn't approved. You can update your listing and apply again. | Desværre blev dit studie ikke godkendt. Du kan opdatere din profil og søge igen. | Leider wurde dein Studio nicht freigegeben. Du kannst dein Inserat aktualisieren und dich erneut bewerben. | Niestety Twoje studio nie zostało zatwierdzone. Możesz zaktualizować ogłoszenie i złożyć wniosek ponownie. | Δυστυχώς το στούντιό σου δεν εγκρίθηκε. Μπορείς να ενημερώσεις την καταχώριση και να κάνεις ξανά αίτηση. | Malheureusement ton studio n'a pas été validé. Tu peux mettre à jour ton annonce et postuler à nouveau. | Lamentablemente tu estudio no fue aprobado. Puedes actualizar tu anuncio y volver a solicitarlo. | Purtroppo lo studio non è stato approvato. Puoi aggiornare l'annuncio e candidarti di nuovo. | Tyvärr godkändes inte din studio. Du kan uppdatera annonsen och ansöka igen. | Helaas is je studio niet goedgekeurd. Je kunt je vermelding bijwerken en opnieuw aanmelden.
Your studio is suspended and hidden from artists. Contact support. | Dit studie er suspenderet og skjult for kunstnere. Kontakt support. | Dein Studio ist gesperrt und für Artists unsichtbar. Wende dich an den Support. | Twoje studio jest zawieszone i ukryte przed artystami. Skontaktuj się z pomocą. | Το στούντιό σου έχει ανασταλεί και δεν φαίνεται στους καλλιτέχνες. Επικοινώνησε με την υποστήριξη. | Ton studio est suspendu et masqué aux artistes. Contacte l'assistance. | Tu estudio está suspendido y oculto para los artistas. Contacta con soporte. | Lo studio è sospeso e nascosto agli artisti. Contatta l'assistenza. | Din studio är avstängd och dold för artister. Kontakta support. | Je studio is geschorst en verborgen voor artiesten. Neem contact op met support.
You owe %@ in platform fees for cash bookings. It's deducted from your next payout. | Du skylder %@ i platformgebyrer for kontantbookinger. Det trækkes fra din næste udbetaling. | Du schuldest %@ an Plattformgebühren für Barbuchungen. Der Betrag wird von deiner nächsten Auszahlung abgezogen. | Zalegasz %@ z tytułu opłat platformy za rezerwacje gotówkowe. Kwota zostanie potrącona z następnej wypłaty. | Οφείλεις %@ σε χρεώσεις πλατφόρμας για κρατήσεις με μετρητά. Αφαιρούνται από την επόμενη πληρωμή σου. | Tu dois %@ de frais de plateforme pour des réservations en espèces. Ils sont déduits de ton prochain versement. | Debes %@ en tarifas de plataforma por reservas en efectivo. Se descuenta de tu próximo pago. | Devi %@ di commissioni per prenotazioni in contanti. Vengono detratte dal prossimo pagamento. | Du är skyldig %@ i plattformsavgifter för kontantbokningar. Det dras från din nästa utbetalning. | Je bent %@ aan platformkosten voor contante boekingen verschuldigd. Dit wordt van je volgende uitbetaling afgetrokken.
Month | Måned | Monat | Miesiąc | Μήνας | Mois | Mes | Mese | Månad | Maand
Next payout %@ | Næste udbetaling %@ | Nächste Auszahlung %@ | Następna wypłata %@ | Επόμενη πληρωμή %@ | Prochain versement %@ | Próximo pago %@ | Prossimo pagamento %@ | Nästa utbetalning %@ | Volgende uitbetaling %@
%lld%% platform fee | %lld %% platformgebyr | %lld %% Plattformgebühr | %lld%% opłaty platformy | %lld%% χρέωση πλατφόρμας | %lld %% de frais de plateforme | %lld %% de tarifa de plataforma | %lld%% di commissione | %lld %% plattformsavgift | %lld%% platformkosten
Nothing here yet | Intet her endnu | Noch nichts hier | Na razie nic tu nie ma | Τίποτα εδώ ακόμα | Rien pour l'instant | Aún no hay nada | Ancora niente qui | Inget här än | Hier staat nog niets
All day | Hele dagen | Ganztägig | Cały dzień | Όλη μέρα | Toute la journée | Todo el día | Tutto il giorno | Hela dagen | Hele dag
Reason (private) | Årsag (privat) | Grund (privat) | Powód (prywatny) | Αιτία (ιδιωτική) | Motif (privé) | Motivo (privado) | Motivo (privato) | Anledning (privat) | Reden (privé)
Block | Bloker | Blockieren | Zablokuj | Αποκλεισμός | Bloquer | Bloquear | Blocca | Blockera | Blokkeren
Blocked | Blokeret | Blockiert | Zablokowane | Αποκλεισμένο | Bloqué | Bloqueado | Bloccato | Blockerad | Geblokkeerd
%@ booked · %lld%% platform fee | %@ booket · %lld %% platformgebyr | %@ gebucht · %lld %% Plattformgebühr | %@ zarezerwowano · %lld%% opłaty | %@ κλεισμένα · %lld%% χρέωση πλατφόρμας | %@ réservés · %lld %% de frais | %@ reservados · %lld %% de tarifa | %@ prenotati · %lld%% di commissione | %@ bokat · %lld %% plattformsavgift | %@ geboekt · %lld%% platformkosten
Totals | I alt | Summen | Podsumowanie | Σύνολα | Totaux | Totales | Totali | Totalt | Totalen
Payouts appear here after your first completed session. | Udbetalinger vises her efter din første gennemførte session. | Auszahlungen erscheinen hier nach deiner ersten abgeschlossenen Session. | Wypłaty pojawią się tu po pierwszej zakończonej sesji. | Οι πληρωμές εμφανίζονται εδώ μετά την πρώτη ολοκληρωμένη συνεδρία. | Les versements apparaissent ici après ta première session terminée. | Los pagos aparecen aquí tras tu primera sesión completada. | I pagamenti compaiono qui dopo la prima sessione conclusa. | Utbetalningar visas här efter din första genomförda session. | Uitbetalingen verschijnen hier na je eerste voltooide sessie.
Paid %@ | Betalt %@ | Bezahlt %@ | Wypłacono %@ | Πληρώθηκε %@ | Payé le %@ | Pagado el %@ | Pagato il %@ | Betald %@ | Betaald %@
Expected %@ | Forventet %@ | Erwartet %@ | Spodziewana %@ | Αναμένεται %@ | Prévu le %@ | Previsto el %@ | Previsto il %@ | Väntas %@ | Verwacht %@
Cash bookings & platform fees | Kontantbookinger og platformgebyrer | Barbuchungen & Plattformgebühren | Rezerwacje gotówkowe i opłaty platformy | Κρατήσεις με μετρητά και χρεώσεις πλατφόρμας | Réservations en espèces et frais de plateforme | Reservas en efectivo y tarifas de plataforma | Prenotazioni in contanti e commissioni | Kontantbokningar och plattformsavgifter | Contante boekingen en platformkosten
For cash bookings you collect the full price; EasySesh's %lld%% fee is deducted from your next payout. Anything left is invoiced monthly and must be paid within 14 days. Unpaid invoices lead to suspension from EasySesh and debt collection. | Ved kontantbookinger opkræver du hele prisen; EasySeshs gebyr på %lld %% trækkes fra din næste udbetaling. Resten faktureres månedligt og skal betales inden for 14 dage. Ubetalte fakturaer fører til suspension fra EasySesh og inkasso. | Bei Barbuchungen kassierst du den vollen Preis; die EasySesh-Gebühr von %lld %% wird von deiner nächsten Auszahlung abgezogen. Der Rest wird monatlich in Rechnung gestellt und ist innerhalb von 14 Tagen zu zahlen. Unbezahlte Rechnungen führen zur Sperrung bei EasySesh und zum Inkasso. | Przy rezerwacjach gotówkowych pobierasz pełną cenę; opłata EasySesh %lld%% jest potrącana z następnej wypłaty. Pozostała kwota jest fakturowana co miesiąc i płatna w ciągu 14 dni. Nieopłacone faktury prowadzą do zawieszenia w EasySesh i windykacji. | Στις κρατήσεις με μετρητά εισπράττεις όλη την τιμή· η χρέωση %lld%% του EasySesh αφαιρείται από την επόμενη πληρωμή σου. Ό,τι απομένει τιμολογείται μηνιαία και πληρώνεται εντός 14 ημερών. Τα απλήρωτα τιμολόγια οδηγούν σε αναστολή από το EasySesh και είσπραξη οφειλών. | Pour les réservations en espèces, tu encaisses le prix total ; les frais EasySesh de %lld %% sont déduits de ton prochain versement. Le reste est facturé chaque mois et payable sous 14 jours. Les factures impayées entraînent la suspension d'EasySesh et un recouvrement. | En las reservas en efectivo cobras el precio completo; la tarifa del %lld %% de EasySesh se descuenta de tu próximo pago. Lo que quede se factura mensualmente y debe pagarse en 14 días. Las facturas impagadas conllevan la suspensión en EasySesh y el cobro de la deuda. | Per le prenotazioni in contanti incassi il prezzo intero; la commissione EasySesh del %lld%% viene detratta dal prossimo pagamento. Il resto viene fatturato ogni mese e va pagato entro 14 giorni. Le fatture non pagate portano alla sospensione da EasySesh e al recupero crediti. | Vid kontantbokningar tar du betalt hela priset; EasySesh avgift på %lld %% dras från din nästa utbetalning. Resten faktureras månadsvis och ska betalas inom 14 dagar. Obetalda fakturor leder till avstängning från EasySesh och inkasso. | Bij contante boekingen reken je de volledige prijs af; de EasySesh-kosten van %lld%% worden van je volgende uitbetaling afgetrokken. De rest wordt maandelijks gefactureerd en moet binnen 14 dagen betaald worden. Onbetaalde facturen leiden tot schorsing bij EasySesh en incasso.
Due %@ | Forfalder %@ | Fällig %@ | Termin %@ | Λήγει %@ | Échéance %@ | Vence el %@ | Scadenza %@ | Förfaller %@ | Vervalt %@
Pay | Betal | Bezahlen | Zapłać | Πληρωμή | Payer | Pagar | Paga | Betala | Betalen
Invoices | Fakturaer | Rechnungen | Faktury | Τιμολόγια | Factures | Facturas | Fatture | Fakturor | Facturen
Open | Åben | Offen | Otwarta | Ανοιχτό | Ouverte | Abierta | Aperta | Öppen | Open
You have an overdue invoice. Pay it now to avoid suspension and debt collection. Contact support if you think this is a mistake. | Du har en forfalden faktura. Betal den nu for at undgå suspension og inkasso. Kontakt support, hvis du mener, det er en fejl. | Du hast eine überfällige Rechnung. Bezahle sie jetzt, um Sperrung und Inkasso zu vermeiden. Wende dich an den Support, wenn du glaubst, dass das ein Fehler ist. | Masz zaległą fakturę. Opłać ją teraz, aby uniknąć zawieszenia i windykacji. Skontaktuj się z pomocą, jeśli uważasz, że to pomyłka. | Έχεις ληξιπρόθεσμο τιμολόγιο. Πλήρωσέ το τώρα για να αποφύγεις αναστολή και είσπραξη οφειλών. Επικοινώνησε με την υποστήριξη αν πιστεύεις ότι είναι λάθος. | Tu as une facture en retard. Paie-la maintenant pour éviter la suspension et le recouvrement. Contacte l'assistance si tu penses que c'est une erreur. | Tienes una factura vencida. Págala ya para evitar la suspensión y el cobro de la deuda. Contacta con soporte si crees que es un error. | Hai una fattura scaduta. Pagala ora per evitare sospensione e recupero crediti. Contatta l'assistenza se pensi che sia un errore. | Du har en förfallen faktura. Betala den nu för att undvika avstängning och inkasso. Kontakta support om du tror att det är fel. | Je hebt een achterstallige factuur. Betaal hem nu om schorsing en incasso te voorkomen. Neem contact op met support als je denkt dat dit een fout is.
Promote | Promovér | Bewerben | Promuj | Προβολή | Mettre en avant | Promocionar | Promuovi | Marknadsför | Uitlichten
Promoted now | Promoveret nu | Wird beworben | Promowane teraz | Προβάλλεται τώρα | Mis en avant | Promocionado ahora | In evidenza ora | Marknadsförs nu | Nu uitgelicht
Top of search | Øverst i søgningen | Ganz oben in der Suche | Na górze wyszukiwania | Πρώτο στην αναζήτηση | En tête des recherches | Primero en las búsquedas | In cima alla ricerca | Överst i sökningen | Bovenaan in zoeken
Artist profile | Kunstnerprofil | Artist-Profil | Profil artysty | Προφίλ καλλιτέχνη | Profil d'artiste | Perfil de artista | Profilo artista | Artistprofil | Artiestenprofiel
Connect yours | Tilknyt din | Deins verbinden | Połącz swój | Σύνδεσε το δικό σου | Relier le tien | Conecta el tuyo | Collega il tuo | Koppla din | Koppel het jouwe
Order received | Bestilling modtaget | Bestellung eingegangen | Zamówienie przyjęte | Η παραγγελία ελήφθη | Commande reçue | Pedido recibido | Ordine ricevuto | Beställning mottagen | Bestelling ontvangen
Get seen first | Bliv set først | Werde zuerst gesehen | Bądź widoczny jako pierwszy | Γίνε ορατός πρώτος | Sois vu en premier | Aparece primero | Fatti vedere per primo | Syns först | Val als eerste op
Promoted studios are shown at the top of Discover and search, with a Promoted tag. | Promoverede studier vises øverst i Opdag og søgning med et Promoveret-mærke. | Beworbene Studios erscheinen oben in Entdecken und in der Suche, mit dem Hinweis „Beworben“. | Promowane studia są wyświetlane na górze Odkrywaj i wyszukiwania z etykietą Promowane. | Τα προβεβλημένα στούντιο εμφανίζονται πρώτα στην Ανακάλυψη και στην αναζήτηση, με την ετικέτα Προβεβλημένο. | Les studios mis en avant apparaissent en tête de Découvrir et des recherches, avec un badge Mis en avant. | Los estudios promocionados aparecen arriba en Descubrir y en las búsquedas, con la etiqueta Promocionado. | Gli studi in evidenza compaiono in cima a Scopri e alla ricerca, con l'etichetta In evidenza. | Marknadsförda studior visas överst i Upptäck och sökningen, med märket Marknadsförd. | Uitgelichte studio's staan bovenaan in Ontdekken en zoeken, met een label Uitgelicht.
Top of results | Øverst i resultaterne | Oben in den Ergebnissen | Na górze wyników | Πρώτο στα αποτελέσματα | En tête des résultats | Arriba en los resultados | In cima ai risultati | Överst i resultaten | Bovenaan de resultaten
Choose a period | Vælg en periode | Zeitraum wählen | Wybierz okres | Διάλεξε περίοδο | Choisis une durée | Elige un periodo | Scegli un periodo | Välj en period | Kies een periode
Popular | Populær | Beliebt | Popularne | Δημοφιλές | Populaire | Popular | Popolare | Populär | Populair
%@ per day | %@ pr. dag | %@ pro Tag | %@ dziennie | %@ την ημέρα | %@ par jour | %@ al día | %@ al giorno | %@ per dag | %@ per dag
A new period starts when your current promotion ends. | En ny periode starter, når din nuværende promovering slutter. | Ein neuer Zeitraum beginnt, wenn deine aktuelle Werbung endet. | Nowy okres zacznie się po zakończeniu obecnej promocji. | Νέα περίοδος ξεκινά όταν λήξει η τρέχουσα προβολή. | Une nouvelle période commence à la fin de ta mise en avant actuelle. | Un nuevo periodo empieza cuando termine tu promoción actual. | Un nuovo periodo inizia alla fine della promozione attuale. | En ny period börjar när din nuvarande marknadsföring slutar. | Een nieuwe periode begint als je huidige promotie afloopt.
Your promotion starts as soon as it's paid. Prices include no VAT; VAT is added where it applies. | Din promovering starter, så snart den er betalt. Priserne er uden moms; moms lægges til, hvor det gælder. | Deine Werbung startet, sobald sie bezahlt ist. Preise ohne MwSt.; die MwSt. kommt hinzu, wo sie anfällt. | Promocja rusza zaraz po opłaceniu. Ceny nie zawierają VAT; VAT jest doliczany, gdy ma zastosowanie. | Η προβολή ξεκινά μόλις πληρωθεί. Οι τιμές δεν περιλαμβάνουν ΦΠΑ· ο ΦΠΑ προστίθεται όπου ισχύει. | Ta mise en avant démarre dès qu'elle est payée. Prix hors TVA ; la TVA s'ajoute le cas échéant. | Tu promoción empieza en cuanto se paga. Los precios no incluyen IVA; se añade cuando corresponde. | La promozione parte appena pagata. Prezzi IVA esclusa; l'IVA si aggiunge ove applicabile. | Din marknadsföring startar så snart den är betald. Priserna är utan moms; moms tillkommer där det gäller. | Je promotie start zodra hij betaald is. Prijzen zijn exclusief btw; btw komt erbij waar van toepassing.
Order promotion | Bestil promovering | Werbung bestellen | Zamów promocję | Παραγγελία προβολής | Commander une mise en avant | Pedir promoción | Ordina promozione | Beställ marknadsföring | Promotie bestellen
Your studio must be approved before it can be promoted. | Dit studie skal være godkendt, før det kan promoveres. | Dein Studio muss freigegeben sein, bevor es beworben werden kann. | Studio musi zostać zatwierdzone, zanim będzie można je promować. | Το στούντιο πρέπει να εγκριθεί πριν προβληθεί. | Ton studio doit être validé avant de pouvoir être mis en avant. | Tu estudio debe estar aprobado antes de promocionarlo. | Lo studio deve essere approvato prima di poter essere promosso. | Din studio måste vara godkänd innan den kan marknadsföras. | Je studio moet goedgekeurd zijn voordat hij uitgelicht kan worden.
