# en | da | de | pl | el | fr | es | it | sv | nl
# Studio page, reviews, bookings, checkout, legal
Studio tour | Studierundvisning | Studio-Tour | Wycieczka po studiu | Περιήγηση στο στούντιο | Visite du studio | Tour por el estudio | Tour dello studio | Studiovisning | Studiotour
Pay %@ in cash at the studio. | Betal %@ kontant i studiet. | Zahle %@ bar im Studio. | Zapłać %@ gotówką w studiu. | Πλήρωσε %@ μετρητά στο στούντιο. | Paie %@ en espèces au studio. | Paga %@ en efectivo en el estudio. | Paga %@ in contanti in studio. | Betala %@ kontant i studion. | Betaal %@ contant in de studio.
When you pay cash we cannot guarantee a refund, as EasySesh does not handle the cash. We will, however, look into it and try to help. | Når du betaler kontant, kan vi ikke garantere en refundering, da EasySesh ikke håndterer kontanterne. Vi vil dog se på sagen og forsøge at hjælpe. | Wenn du bar zahlst, können wir keine Erstattung garantieren, da EasySesh das Bargeld nicht abwickelt. Wir sehen uns den Fall aber an und versuchen zu helfen. | Przy płatności gotówką nie możemy zagwarantować zwrotu, ponieważ EasySesh nie obsługuje gotówki. Mimo to przyjrzymy się sprawie i spróbujemy pomóc. | Όταν πληρώνεις μετρητά, δεν μπορούμε να εγγυηθούμε επιστροφή χρημάτων, αφού το EasySesh δεν διαχειρίζεται τα μετρητά. Θα εξετάσουμε όμως την υπόθεση και θα προσπαθήσουμε να βοηθήσουμε. | Si tu paies en espèces, nous ne pouvons pas garantir de remboursement, car EasySesh ne gère pas l'argent liquide. Nous examinerons toutefois le cas et essaierons d'aider. | Si pagas en efectivo no podemos garantizar un reembolso, ya que EasySesh no gestiona el efectivo. Aun así, revisaremos el caso e intentaremos ayudar. | Se paghi in contanti non possiamo garantire un rimborso, perché EasySesh non gestisce i contanti. Esamineremo comunque il caso e cercheremo di aiutarti. | När du betalar kontant kan vi inte garantera återbetalning, eftersom EasySesh inte hanterar kontanterna. Vi tittar ändå på ärendet och försöker hjälpa till. | Als je contant betaalt, kunnen we geen terugbetaling garanderen, omdat EasySesh het contante geld niet beheert. We bekijken het wel en proberen te helpen.
Balance payment | Restbetaling | Restzahlung | Dopłata | Εξόφληση υπολοίπου | Paiement du solde | Pago del saldo | Saldo | Restbetalning | Restbetaling
Paid so far | Betalt indtil nu | Bisher bezahlt | Zapłacono dotąd | Πληρωμένα μέχρι τώρα | Déjà payé | Pagado hasta ahora | Pagato finora | Betalt hittills | Tot nu toe betaald
Artist is refunded | Kunstneren får refunderet | Artist erhält Erstattung | Artysta otrzyma zwrot | Επιστροφή στον καλλιτέχνη | Remboursé à l'artiste | Reembolso al artista | Rimborsato all'artista | Artisten får tillbaka | Artiest krijgt terug
You'll get back | Du får tilbage | Du bekommst zurück | Otrzymasz zwrot | Θα πάρεις πίσω | Tu récupères | Recibirás | Riceverai | Du får tillbaka | Je krijgt terug
When a studio cancels, the artist always gets a full refund. Frequent cancellations affect your listing. | Når et studie aflyser, får kunstneren altid fuld refundering. Hyppige aflysninger påvirker din profil. | Sagt ein Studio ab, erhält der Artist immer die volle Erstattung. Häufige Absagen wirken sich auf dein Inserat aus. | Gdy studio odwołuje, artysta zawsze otrzymuje pełny zwrot. Częste odwołania wpływają na Twój profil. | Όταν ένα στούντιο ακυρώνει, ο καλλιτέχνης παίρνει πάντα πλήρη επιστροφή. Οι συχνές ακυρώσεις επηρεάζουν την καταχώρισή σου. | Quand un studio annule, l'artiste est toujours intégralement remboursé. Les annulations fréquentes nuisent à ton annonce. | Cuando un estudio cancela, el artista siempre recibe el reembolso completo. Cancelar a menudo afecta a tu anuncio. | Quando uno studio annulla, l'artista riceve sempre il rimborso completo. Annullare spesso penalizza il tuo annuncio. | När en studio avbokar får artisten alltid full återbetalning. Täta avbokningar påverkar din annons. | Als een studio annuleert, krijgt de artiest altijd alles terug. Vaak annuleren heeft gevolgen voor je vermelding.
%@ policy: %@ | %@ politik: %@ | %@ Richtlinie: %@ | Zasady (%@): %@ | Πολιτική %@: %@ | Politique %@ : %@ | Política %@: %@ | Politica %@: %@ | %@ policy: %@ | %@ beleid: %@
Let the artist know why | Fortæl kunstneren hvorfor | Sag dem Artist, warum | Wyjaśnij artyście dlaczego | Πες στον καλλιτέχνη γιατί | Explique à l'artiste pourquoi | Explica al artista por qué | Spiega all'artista il motivo | Berätta för artisten varför | Laat de artiest weten waarom
Same session type and length (%lld h). To change the length, cancel and book again. | Samme sessionstype og længde (%lld t). Vil du ændre længden, så aflys og book igen. | Gleiche Session-Art und Länge (%lld Std.). Um die Länge zu ändern, storniere und buche neu. | Ten sam rodzaj i długość sesji (%lld godz.). Aby zmienić długość, anuluj i zarezerwuj ponownie. | Ίδιος τύπος και διάρκεια συνεδρίας (%lld ώρ.). Για αλλαγή διάρκειας, ακύρωσε και κλείσε ξανά. | Même type et même durée de session (%lld h). Pour changer la durée, annule et réserve à nouveau. | Mismo tipo y duración de sesión (%lld h). Para cambiar la duración, cancela y reserva de nuevo. | Stesso tipo e durata della sessione (%lld h). Per cambiare durata, annulla e prenota di nuovo. | Samma sessionstyp och längd (%lld h). Vill du ändra längden, avboka och boka igen. | Zelfde soort sessie en duur (%lld u). Wil je de duur wijzigen, annuleer dan en boek opnieuw.
New start time | Nyt starttidspunkt | Neue Startzeit | Nowa godzina rozpoczęcia | Νέα ώρα έναρξης | Nouvelle heure de début | Nueva hora de inicio | Nuovo orario di inizio | Ny starttid | Nieuwe begintijd
Change booking | Ændr booking | Buchung ändern | Zmień rezerwację | Αλλαγή κράτησης | Modifier la réservation | Cambiar reserva | Modifica prenotazione | Ändra bokning | Boeking wijzigen
Refund receipt | Refunderingskvittering | Erstattungsbeleg | Potwierdzenie zwrotu | Απόδειξη επιστροφής | Reçu de remboursement | Recibo de reembolso | Ricevuta di rimborso | Kvitto för återbetalning | Bewijs van terugbetaling
Payment receipt | Betalingskvittering | Zahlungsbeleg | Potwierdzenie płatności | Απόδειξη πληρωμής | Reçu de paiement | Recibo de pago | Ricevuta di pagamento | Betalningskvitto | Betaalbewijs
Share receipt | Del kvittering | Beleg teilen | Udostępnij potwierdzenie | Κοινοποίηση απόδειξης | Partager le reçu | Compartir recibo | Condividi ricevuta | Dela kvitto | Bon delen
EasySesh acts as payment agent for the studio. The service fee includes VAT where applicable. | EasySesh optræder som betalingsagent for studiet. Servicegebyret inkluderer moms, hvor det gælder. | EasySesh handelt als Zahlungsagent für das Studio. Die Servicegebühr enthält ggf. die MwSt. | EasySesh działa jako agent płatności studia. Opłata serwisowa zawiera VAT, jeśli ma zastosowanie. | Το EasySesh ενεργεί ως εκπρόσωπος πληρωμών του στούντιο. Η χρέωση υπηρεσίας περιλαμβάνει ΦΠΑ όπου ισχύει. | EasySesh agit comme agent de paiement du studio. Les frais de service incluent la TVA le cas échéant. | EasySesh actúa como agente de pago del estudio. La tarifa de servicio incluye el IVA cuando corresponde. | EasySesh agisce come agente di pagamento dello studio. La commissione di servizio include l'IVA ove applicabile. | EasySesh agerar betalningsombud för studion. Serviceavgiften inkluderar moms där det gäller. | EasySesh treedt op als betaalagent voor de studio. De servicekosten zijn inclusief btw waar van toepassing.
No bookings yet | Ingen bookinger endnu | Noch keine Buchungen | Brak rezerwacji | Καμία κράτηση ακόμα | Aucune réservation pour l'instant | Aún no hay reservas | Ancora nessuna prenotazione | Inga bokningar än | Nog geen boekingen
Booking history | Bookinghistorik | Buchungsverlauf | Historia rezerwacji | Ιστορικό κρατήσεων | Historique des réservations | Historial de reservas | Storico prenotazioni | Bokningshistorik | Boekingsgeschiedenis
%lld hours | %lld timer | %lld Stunden | %lld godz. | %lld ώρες | %lld heures | %lld horas | %lld ore | %lld timmar | %lld uur
No free %lld-hour slots this day. Try fewer hours or another date. | Ingen ledige tider på %lld timer denne dag. Prøv færre timer eller en anden dato. | An diesem Tag gibt es keine freien %lld-Stunden-Termine. Versuche weniger Stunden oder ein anderes Datum. | Brak wolnych terminów na %lld godz. tego dnia. Spróbuj krócej lub innego dnia. | Δεν υπάρχουν ελεύθερες θέσεις %lld ωρών αυτή τη μέρα. Δοκίμασε λιγότερες ώρες ή άλλη ημερομηνία. | Aucun créneau libre de %lld h ce jour-là. Essaie moins d'heures ou une autre date. | No hay huecos libres de %lld h este día. Prueba menos horas u otra fecha. | Nessuno slot libero da %lld ore in questo giorno. Prova meno ore o un'altra data. | Inga lediga tider på %lld timmar den dagen. Prova färre timmar eller ett annat datum. | Geen vrije tijden van %lld uur op deze dag. Probeer minder uren of een andere datum.
The studio is closed this day. | Studiet har lukket denne dag. | Das Studio ist an diesem Tag geschlossen. | Studio jest tego dnia zamknięte. | Το στούντιο είναι κλειστό αυτή τη μέρα. | Le studio est fermé ce jour-là. | El estudio está cerrado este día. | Lo studio è chiuso in questo giorno. | Studion är stängd den dagen. | De studio is op deze dag gesloten.
Pick a time | Vælg et tidspunkt | Wähle eine Zeit | Wybierz godzinę | Διάλεξε ώρα | Choisis un horaire | Elige una hora | Scegli un orario | Välj en tid | Kies een tijd
What are you working on? Anything they should prepare? | Hvad arbejder du på? Er der noget, de skal forberede? | Woran arbeitest du? Sollen sie etwas vorbereiten? | Nad czym pracujesz? Czy mają coś przygotować? | Σε τι δουλεύεις; Χρειάζεται να προετοιμάσουν κάτι; | Sur quoi travailles-tu ? Quelque chose à préparer ? | ¿En qué estás trabajando? ¿Deben preparar algo? | Su cosa stai lavorando? Devono preparare qualcosa? | Vad jobbar du med? Något de ska förbereda? | Waar werk je aan? Moeten ze iets voorbereiden?
Continue · %@ | Fortsæt · %@ | Weiter · %@ | Dalej · %@ | Συνέχεια · %@ | Continuer · %@ | Continuar · %@ | Continua · %@ | Fortsätt · %@ | Doorgaan · %@
1 track | 1 nummer | 1 Track | 1 utwór | 1 κομμάτι | 1 morceau | 1 pista | 1 brano | 1 låt | 1 track
%lld tracks | %lld numre | %lld Tracks | %lld utworów | %lld κομμάτια | %lld morceaux | %lld pistas | %lld brani | %lld låtar | %lld tracks
Due now (deposit + fee) | Skal betales nu (depositum + gebyr) | Jetzt fällig (Anzahlung + Gebühr) | Do zapłaty teraz (zaliczka + opłata) | Πληρωτέο τώρα (προκαταβολή + χρέωση) | À payer maintenant (acompte + frais) | A pagar ahora (depósito + tarifa) | Da pagare ora (acconto + commissione) | Att betala nu (handpenning + avgift) | Nu te betalen (aanbetaling + kosten)
Charged after the session | Trækkes efter sessionen | Nach der Session abgebucht | Pobierane po sesji | Χρεώνεται μετά τη συνεδρία | Débité après la session | Se cobra después de la sesión | Addebitato dopo la sessione | Dras efter sessionen | Afgeschreven na de sessie
Book · pay cash at the studio | Book · betal kontant i studiet | Buchen · bar im Studio zahlen | Zarezerwuj · płać gotówką w studiu | Κράτηση · πληρωμή με μετρητά στο στούντιο | Réserver · payer en espèces au studio | Reservar · pagar en efectivo en el estudio | Prenota · paga in contanti in studio | Boka · betala kontant i studion | Boeken · contant betalen in de studio
Request to book · pay cash | Send bookingforespørgsel · betal kontant | Buchung anfragen · bar zahlen | Poproś o rezerwację · gotówka | Αίτημα κράτησης · μετρητά | Demander à réserver · espèces | Solicitar reserva · efectivo | Richiedi prenotazione · contanti | Skicka bokningsförfrågan · kontant | Boeking aanvragen · contant
Pay %@ | Betal %@ | %@ bezahlen | Zapłać %@ | Πλήρωσε %@ | Payer %@ | Pagar %@ | Paga %@ | Betala %@ | Betaal %@
Request to book · %@ | Send bookingforespørgsel · %@ | Buchung anfragen · %@ | Poproś o rezerwację · %@ | Αίτημα κράτησης · %@ | Demander à réserver · %@ | Solicitar reserva · %@ | Richiedi prenotazione · %@ | Skicka bokningsförfrågan · %@ | Boeking aanvragen · %@
Bring %@ in cash to your session. Paying in the app gives you automatic refunds under the cancellation policy. | Tag %@ med i kontanter til din session. Betaler du i appen, får du automatisk refundering efter afbestillingsreglerne. | Bring %@ in bar zu deiner Session mit. Wenn du in der App zahlst, bekommst du automatische Erstattungen gemäß den Stornobedingungen. | Przynieś %@ w gotówce na sesję. Płacąc w aplikacji, otrzymasz automatyczne zwroty zgodnie z zasadami anulowania. | Φέρε %@ σε μετρητά στη συνεδρία σου. Αν πληρώσεις στην εφαρμογή, παίρνεις αυτόματες επιστροφές βάσει της πολιτικής ακύρωσης. | Apporte %@ en espèces à ta session. En payant dans l'app, tu bénéficies de remboursements automatiques selon la politique d'annulation. | Lleva %@ en efectivo a tu sesión. Si pagas en la app, tienes reembolsos automáticos según la política de cancelación. | Porta %@ in contanti alla sessione. Pagando nell'app ottieni rimborsi automatici secondo la politica di cancellazione. | Ta med %@ i kontanter till din session. Betalar du i appen får du automatisk återbetalning enligt avbokningsreglerna. | Neem %@ contant mee naar je sessie. Betaal je in de app, dan krijg je automatisch geld terug volgens het annuleringsbeleid.
Pay %@ in cash at the session. | Betal %@ kontant ved sessionen. | Zahle %@ bar bei der Session. | Zapłać %@ gotówką na sesji. | Πλήρωσε %@ μετρητά στη συνεδρία. | Paie %@ en espèces pendant la session. | Paga %@ en efectivo en la sesión. | Paga %@ in contanti alla sessione. | Betala %@ kontant vid sessionen. | Betaal %@ contant bij de sessie.
In-app payment isn't available yet, and this studio doesn't accept cash. Message the studio to arrange your session. | Betaling i appen er ikke tilgængelig endnu, og studiet tager ikke imod kontanter. Skriv til studiet for at aftale din session. | Zahlung in der App ist noch nicht verfügbar und dieses Studio nimmt kein Bargeld. Schreib dem Studio, um deine Session abzusprechen. | Płatność w aplikacji nie jest jeszcze dostępna, a to studio nie przyjmuje gotówki. Napisz do studia, aby umówić sesję. | Η πληρωμή στην εφαρμογή δεν είναι ακόμα διαθέσιμη και το στούντιο δεν δέχεται μετρητά. Στείλε μήνυμα στο στούντιο για να κανονίσετε τη συνεδρία. | Le paiement dans l'app n'est pas encore disponible et ce studio n'accepte pas les espèces. Écris au studio pour organiser ta session. | El pago en la app aún no está disponible y este estudio no acepta efectivo. Escribe al estudio para organizar tu sesión. | Il pagamento in app non è ancora disponibile e questo studio non accetta contanti. Scrivi allo studio per organizzare la sessione. | Betalning i appen är inte tillgänglig än och studion tar inte kontanter. Skriv till studion för att ordna din session. | Betalen in de app kan nog niet en deze studio accepteert geen contant geld. Stuur de studio een bericht om je sessie te regelen.
I agree to the studio's rules and the %@ cancellation policy. | Jeg accepterer studiets regler og afbestillingspolitikken (%@). | Ich stimme den Regeln des Studios und der Stornobedingung „%@“ zu. | Akceptuję zasady studia i zasady anulowania (%@). | Συμφωνώ με τους κανόνες του στούντιο και την πολιτική ακύρωσης (%@). | J'accepte les règles du studio et la politique d'annulation (%@). | Acepto las normas del estudio y la política de cancelación (%@). | Accetto le regole dello studio e la politica di cancellazione (%@). | Jag godkänner studions regler och avbokningspolicyn (%@). | Ik ga akkoord met de regels van de studio en het annuleringsbeleid (%@).
This studio confirms requests manually, within 24 hours. | Studiet bekræfter forespørgsler manuelt inden for 24 timer. | Dieses Studio bestätigt Anfragen manuell innerhalb von 24 Stunden. | To studio potwierdza prośby ręcznie, w ciągu 24 godzin. | Αυτό το στούντιο επιβεβαιώνει τα αιτήματα χειροκίνητα, εντός 24 ωρών. | Ce studio confirme les demandes manuellement, sous 24 heures. | Este estudio confirma las solicitudes manualmente, en 24 horas. | Questo studio conferma le richieste manualmente, entro 24 ore. | Studion bekräftar förfrågningar manuellt inom 24 timmar. | Deze studio bevestigt aanvragen handmatig, binnen 24 uur.
This studio confirms requests manually, within 24 hours. Your card is authorised now and only charged if they accept. | Studiet bekræfter forespørgsler manuelt inden for 24 timer. Dit kort godkendes nu og trækkes kun, hvis de accepterer. | Dieses Studio bestätigt Anfragen manuell innerhalb von 24 Stunden. Deine Karte wird jetzt autorisiert und nur belastet, wenn angenommen wird. | To studio potwierdza prośby ręcznie, w ciągu 24 godzin. Karta jest teraz autoryzowana i obciążona tylko po akceptacji. | Αυτό το στούντιο επιβεβαιώνει χειροκίνητα, εντός 24 ωρών. Η κάρτα σου εγκρίνεται τώρα και χρεώνεται μόνο αν αποδεχτούν. | Ce studio confirme les demandes manuellement, sous 24 heures. Ta carte est autorisée maintenant et débitée seulement s'il accepte. | Este estudio confirma manualmente, en 24 horas. Tu tarjeta se autoriza ahora y solo se cobra si aceptan. | Questo studio conferma manualmente, entro 24 ore. La carta viene autorizzata ora e addebitata solo se accettano. | Studion bekräftar manuellt inom 24 timmar. Ditt kort godkänns nu och dras bara om de accepterar. | Deze studio bevestigt handmatig, binnen 24 uur. Je kaart wordt nu geautoriseerd en alleen belast als ze accepteren.
Check in in the app when you arrive. EasySesh recommends it: it protects you against fraud and helps us sort out any problem. | Tjek ind i appen, når du ankommer. EasySesh anbefaler det: det beskytter dig mod svindel og hjælper os med at løse eventuelle problemer. | Checke bei Ankunft in der App ein. EasySesh empfiehlt es: Es schützt dich vor Betrug und hilft uns bei Problemen. | Zamelduj się w aplikacji po przybyciu. EasySesh to zaleca: chroni Cię przed oszustwem i pomaga nam rozwiązać ewentualne problemy. | Κάνε check-in στην εφαρμογή όταν φτάσεις. Το EasySesh το προτείνει: σε προστατεύει από απάτη και μας βοηθά να λύσουμε κάθε πρόβλημα. | Enregistre-toi dans l'app à ton arrivée. EasySesh le recommande : cela te protège contre la fraude et nous aide à régler tout problème. | Haz check-in en la app al llegar. EasySesh lo recomienda: te protege del fraude y nos ayuda a resolver cualquier problema. | Fai il check-in nell'app quando arrivi. EasySesh lo consiglia: ti protegge dalle frodi e ci aiuta a risolvere ogni problema. | Checka in i appen när du kommer. EasySesh rekommenderar det: det skyddar dig mot bedrägeri och hjälper oss att lösa eventuella problem. | Check in in de app als je aankomt. EasySesh raadt het aan: het beschermt je tegen fraude en helpt ons problemen op te lossen.
Pay %@ in cash at the studio. We'll remind you before your session. | Betal %@ kontant i studiet. Vi minder dig om det før din session. | Zahle %@ bar im Studio. Wir erinnern dich vor deiner Session. | Zapłać %@ gotówką w studiu. Przypomnimy Ci przed sesją. | Πλήρωσε %@ μετρητά στο στούντιο. Θα σου το θυμίσουμε πριν τη συνεδρία. | Paie %@ en espèces au studio. Nous te le rappellerons avant ta session. | Paga %@ en efectivo en el estudio. Te lo recordaremos antes de tu sesión. | Paga %@ in contanti in studio. Te lo ricorderemo prima della sessione. | Betala %@ kontant i studion. Vi påminner dig före din session. | Betaal %@ contant in de studio. We herinneren je eraan voor je sessie.
We've sent a confirmation and receipt. We'll remind you before your session. | Vi har sendt en bekræftelse og kvittering. Vi minder dig om det før din session. | Wir haben dir eine Bestätigung und einen Beleg geschickt. Wir erinnern dich vor deiner Session. | Wysłaliśmy potwierdzenie i paragon. Przypomnimy Ci przed sesją. | Σου στείλαμε επιβεβαίωση και απόδειξη. Θα σου το θυμίσουμε πριν τη συνεδρία. | Nous t'avons envoyé une confirmation et un reçu. Nous te le rappellerons avant ta session. | Te hemos enviado la confirmación y el recibo. Te lo recordaremos antes de tu sesión. | Ti abbiamo inviato conferma e ricevuta. Te lo ricorderemo prima della sessione. | Vi har skickat en bekräftelse och ett kvitto. Vi påminner dig före din session. | We hebben een bevestiging en bon gestuurd. We herinneren je eraan voor je sessie.
%@ will respond within 24 hours. | %@ svarer inden for 24 timer. | %@ antwortet innerhalb von 24 Stunden. | %@ odpowie w ciągu 24 godzin. | Το %@ θα απαντήσει εντός 24 ωρών. | %@ répondra sous 24 heures. | %@ responderá en 24 horas. | %@ risponderà entro 24 ore. | %@ svarar inom 24 timmar. | %@ reageert binnen 24 uur.
You're only charged if they accept. | Du betaler kun, hvis de accepterer. | Du zahlst nur, wenn angenommen wird. | Płacisz tylko, jeśli zaakceptują. | Χρεώνεσαι μόνο αν αποδεχτούν. | Tu n'es débité que s'ils acceptent. | Solo se te cobra si aceptan. | Ti viene addebitato solo se accettano. | Du debiteras bara om de accepterar. | Je betaalt alleen als ze accepteren.
Allow calendar access in Settings to add sessions. | Giv adgang til kalenderen under Indstillinger for at tilføje sessioner. | Erlaube in den Einstellungen den Kalenderzugriff, um Sessions hinzuzufügen. | Zezwól na dostęp do kalendarza w Ustawieniach, aby dodawać sesje. | Επίτρεψε πρόσβαση στο ημερολόγιο από τις Ρυθμίσεις για να προσθέτεις συνεδρίες. | Autorise l'accès au calendrier dans Réglages pour ajouter des sessions. | Permite el acceso al calendario en Ajustes para añadir sesiones. | Consenti l'accesso al calendario nelle Impostazioni per aggiungere sessioni. | Tillåt kalenderåtkomst i Inställningar för att lägga till sessioner. | Geef in Instellingen toegang tot je agenda om sessies toe te voegen.
EasySesh booking %@ | EasySesh-booking %@ | EasySesh-Buchung %@ | Rezerwacja EasySesh %@ | Κράτηση EasySesh %@ | Réservation EasySesh %@ | Reserva de EasySesh %@ | Prenotazione EasySesh %@ | EasySesh-bokning %@ | EasySesh-boeking %@
Version %@. Questions? %@ | Version %@. Spørgsmål? %@ | Version %@. Fragen? %@ | Wersja %@. Pytania? %@ | Έκδοση %@. Ερωτήσεις; %@ | Version %@. Des questions ? %@ | Versión %@. ¿Preguntas? %@ | Versione %@. Domande? %@ | Version %@. Frågor? %@ | Versie %@. Vragen? %@
Before you start | Før du går i gang | Bevor du loslegst | Zanim zaczniesz | Πριν ξεκινήσεις | Avant de commencer | Antes de empezar | Prima di iniziare | Innan du börjar | Voordat je begint
Please read the updated documents again and accept them to keep using EasySesh. | Læs de opdaterede dokumenter igen, og acceptér dem for at fortsætte med at bruge EasySesh. | Bitte lies die aktualisierten Dokumente erneut und akzeptiere sie, um EasySesh weiter zu nutzen. | Przeczytaj ponownie zaktualizowane dokumenty i zaakceptuj je, aby dalej korzystać z EasySesh. | Διάβασε ξανά τα ενημερωμένα έγγραφα και αποδέξου τα για να συνεχίσεις να χρησιμοποιείς το EasySesh. | Lis à nouveau les documents mis à jour et accepte-les pour continuer à utiliser EasySesh. | Vuelve a leer los documentos actualizados y acéptalos para seguir usando EasySesh. | Rileggi i documenti aggiornati e accettali per continuare a usare EasySesh. | Läs de uppdaterade dokumenten igen och godkänn dem för att fortsätta använda EasySesh. | Lees de bijgewerkte documenten opnieuw en accepteer ze om EasySesh te blijven gebruiken.
Please read and accept the documents below to use EasySesh. | Læs og acceptér dokumenterne nedenfor for at bruge EasySesh. | Bitte lies und akzeptiere die folgenden Dokumente, um EasySesh zu nutzen. | Przeczytaj i zaakceptuj poniższe dokumenty, aby korzystać z EasySesh. | Διάβασε και αποδέξου τα παρακάτω έγγραφα για να χρησιμοποιήσεις το EasySesh. | Lis et accepte les documents ci-dessous pour utiliser EasySesh. | Lee y acepta los documentos siguientes para usar EasySesh. | Leggi e accetta i documenti qui sotto per usare EasySesh. | Läs och godkänn dokumenten nedan för att använda EasySesh. | Lees en accepteer de documenten hieronder om EasySesh te gebruiken.
What changed | Hvad er ændret | Was sich geändert hat | Co się zmieniło | Τι άλλαξε | Ce qui a changé | Qué ha cambiado | Cosa è cambiato | Vad som har ändrats | Wat er is veranderd
Read | Læst | Gelesen | Przeczytano | Διαβάστηκε | Lu | Leído | Letto | Läst | Gelezen
Tap to read | Tryk for at læse | Zum Lesen tippen | Stuknij, aby przeczytać | Πάτα για ανάγνωση | Touche pour lire | Toca para leer | Tocca per leggere | Tryck för att läsa | Tik om te lezen
Open each document to continue. | Åbn hvert dokument for at fortsætte. | Öffne jedes Dokument, um fortzufahren. | Otwórz każdy dokument, aby kontynuować. | Άνοιξε κάθε έγγραφο για να συνεχίσεις. | Ouvre chaque document pour continuer. | Abre cada documento para continuar. | Apri ogni documento per continuare. | Öppna varje dokument för att fortsätta. | Open elk document om verder te gaan.
Accept and continue | Acceptér og fortsæt | Akzeptieren und weiter | Zaakceptuj i kontynuuj | Αποδοχή και συνέχεια | Accepter et continuer | Aceptar y continuar | Accetta e continua | Godkänn och fortsätt | Accepteren en doorgaan
We record the version and time of your acceptance. You can withdraw consent by deleting your account in Settings. | Vi registrerer version og tidspunkt for din accept. Du kan trække dit samtykke tilbage ved at slette din konto under Indstillinger. | Wir speichern Version und Zeitpunkt deiner Zustimmung. Du kannst sie widerrufen, indem du dein Konto in den Einstellungen löschst. | Zapisujemy wersję i czas Twojej akceptacji. Możesz wycofać zgodę, usuwając konto w Ustawieniach. | Καταγράφουμε την έκδοση και την ώρα της αποδοχής σου. Μπορείς να ανακαλέσεις τη συγκατάθεση διαγράφοντας τον λογαριασμό σου από τις Ρυθμίσεις. | Nous enregistrons la version et l'heure de ton acceptation. Tu peux retirer ton consentement en supprimant ton compte dans Réglages. | Registramos la versión y la hora de tu aceptación. Puedes retirar el consentimiento eliminando tu cuenta en Ajustes. | Registriamo versione e ora della tua accettazione. Puoi revocare il consenso eliminando l'account nelle Impostazioni. | Vi sparar version och tidpunkt för ditt godkännande. Du kan dra tillbaka samtycket genom att radera ditt konto i Inställningar. | We leggen de versie en het tijdstip van je akkoord vast. Je kunt je toestemming intrekken door je account te verwijderen in Instellingen.
Warning from EasySesh | Advarsel fra EasySesh | Verwarnung von EasySesh | Ostrzeżenie od EasySesh | Προειδοποίηση από το EasySesh | Avertissement d'EasySesh | Aviso de EasySesh | Avviso da EasySesh | Varning från EasySesh | Waarschuwing van EasySesh
Please follow our Community Guidelines. Further breaches can lead to your account being suspended or banned. | Følg vores retningslinjer for fællesskabet. Yderligere overtrædelser kan føre til, at din konto suspenderes eller udelukkes. | Bitte halte dich an unsere Community-Richtlinien. Weitere Verstöße können zur Sperrung deines Kontos führen. | Przestrzegaj naszych zasad społeczności. Kolejne naruszenia mogą skutkować zawieszeniem lub zablokowaniem konta. | Ακολούθησε τις Οδηγίες Κοινότητας. Περαιτέρω παραβιάσεις μπορεί να οδηγήσουν σε αναστολή ή αποκλεισμό του λογαριασμού σου. | Respecte nos règles de la communauté. D'autres manquements peuvent entraîner la suspension ou le bannissement de ton compte. | Sigue nuestras normas de la comunidad. Nuevas infracciones pueden llevar a la suspensión o bloqueo de tu cuenta. | Rispetta le nostre linee guida della community. Ulteriori violazioni possono portare alla sospensione o al ban dell'account. | Följ våra gemenskapsriktlinjer. Fler överträdelser kan leda till att ditt konto stängs av. | Volg onze communityrichtlijnen. Verdere overtredingen kunnen leiden tot schorsing of verbanning van je account.
Read the Community Guidelines | Læs retningslinjerne for fællesskabet | Community-Richtlinien lesen | Przeczytaj zasady społeczności | Διάβασε τις Οδηγίες Κοινότητας | Lire les règles de la communauté | Leer las normas de la comunidad | Leggi le linee guida della community | Läs gemenskapsriktlinjerna | Lees de communityrichtlijnen
I understand | Jeg forstår | Verstanden | Rozumiem | Κατάλαβα | J'ai compris | Entendido | Ho capito | Jag förstår | Ik begrijp het
What's new | Nyheder | Neuigkeiten | Co nowego | Τι νέο υπάρχει | Nouveautés | Novedades | Novità | Nyheter | Wat is er nieuw
Got it | Forstået | Alles klar | Jasne | Εντάξει | Compris | Entendido | Ok | Uppfattat | Begrepen
No updates yet | Ingen opdateringer endnu | Noch keine Neuigkeiten | Brak aktualizacji | Καμία ενημέρωση ακόμα | Pas encore de nouveautés | Aún no hay novedades | Ancora nessun aggiornamento | Inga uppdateringar än | Nog geen updates
Update notes from the EasySesh team show up here. | Opdateringer fra EasySesh-teamet vises her. | Hinweise des EasySesh-Teams zu Updates erscheinen hier. | Informacje o aktualizacjach od zespołu EasySesh pojawią się tutaj. | Οι σημειώσεις ενημερώσεων της ομάδας EasySesh εμφανίζονται εδώ. | Les notes de mise à jour de l'équipe EasySesh apparaissent ici. | Aquí aparecen las notas de actualización del equipo de EasySesh. | Le note sugli aggiornamenti del team EasySesh compaiono qui. | Uppdateringar från EasySesh-teamet visas här. | Updates van het EasySesh-team verschijnen hier.
Legal update | Juridisk opdatering | Rechtliche Änderung | Aktualizacja prawna | Νομική ενημέρωση | Mise à jour juridique | Actualización legal | Aggiornamento legale | Juridisk uppdatering | Juridische update
