# en | da | de | pl | el | fr | es | it | sv | nl
Find a studio | Find et studie | Studio finden | Znajdź studio | Βρες στούντιο | Trouver un studio | Buscar un estudio | Trova uno studio | Hitta en studio | Vind een studio
Refund & Cancellation Policy | Refusions- og afbestillingspolitik | Erstattungs- und Stornorichtlinie | Zasady zwrotów i anulowania | Πολιτική επιστροφών και ακυρώσεων | Politique de remboursement et d'annulation | Política de reembolso y cancelación | Politica di rimborso e cancellazione | Återbetalnings- och avbokningspolicy | Terugbetalings- en annuleringsbeleid
Studio Agreement | Studieaftale | Studio-Vereinbarung | Umowa ze studiem | Συμφωνία στούντιο | Contrat studio | Acuerdo de estudio | Accordo studio | Studioavtal | Studio-overeenkomst
Studio agreement | Studieaftale | Studio-Vereinbarung | Umowa ze studiem | Συμφωνία στούντιο | Contrat studio | Acuerdo de estudio | Accordo studio | Studioavtal | Studio-overeenkomst
Community Guidelines | Retningslinjer for fællesskabet | Community-Richtlinien | Zasady społeczności | Οδηγίες κοινότητας | Règles de la communauté | Normas de la comunidad | Linee guida della community | Riktlinjer för gemenskapen | Communityrichtlijnen
Recording | Optagelse | Aufnahme | Nagrywanie | Ηχογράφηση | Enregistrement | Grabación | Registrazione | Inspelning | Opname
Mixing | Mixing | Mixing | Miks | Μίξη | Mixage | Mezcla | Missaggio | Mixning | Mixen
Mastering | Mastering | Mastering | Mastering | Mastering | Mastering | Masterización | Mastering | Mastering | Mastering
Producer | Producer | Producer:in | Producent | Παραγωγός | Producteur | Productor | Produttore | Producent | Producer
Rehearsal | Øvning | Probe | Próba | Πρόβα | Répétition | Ensayo | Prove | Repetition | Repetitie
Podcast | Podcast | Podcast | Podcast | Podcast | Podcast | Pódcast | Podcast | Podd | Podcast
Vocal booth | Vokalboks | Gesangskabine | Kabina wokalna | Φωνητικό θάλαμο | Cabine voix | Cabina vocal | Cabina voce | Sångbås | Zangcabine
Live room | Liverum | Aufnahmeraum | Sala nagrań | Χώρος λάιβ | Salle de prise | Sala en vivo | Sala di ripresa | Inspelningsrum | Opnameruimte
Control room | Kontrolrum | Regie | Reżyserka | Αίθουσα ελέγχου | Régie | Sala de control | Sala regia | Kontrollrum | Regiekamer
Parking | Parkering | Parkplätze | Parking | Στάθμευση | Parking | Aparcamiento | Parcheggio | Parkering | Parkeren
Wi-Fi | Wi-Fi | WLAN | Wi-Fi | Wi-Fi | Wi-Fi | Wi-Fi | Wi-Fi | Wi-Fi | Wifi
Kitchen | Køkken | Küche | Kuchnia | Κουζίνα | Cuisine | Cocina | Cucina | Kök | Keuken
Lounge | Lounge | Lounge | Strefa relaksu | Σαλόνι | Salon | Sala de estar | Lounge | Lounge | Lounge
Air conditioning | Aircondition | Klimaanlage | Klimatyzacja | Κλιματισμός | Climatisation | Aire acondicionado | Aria condizionata | Luftkonditionering | Airconditioning
Wheelchair access | Kørestolsadgang | Rollstuhlgerecht | Dostęp dla wózków | Πρόσβαση αμαξιδίου | Accès fauteuil roulant | Acceso para silla de ruedas | Accesso disabili | Rullstolsanpassat | Rolstoeltoegankelijk
Near public transport | Tæt på offentlig transport | Nahe ÖPNV | Blisko komunikacji | Κοντά σε συγκοινωνίες | Proche des transports | Cerca del transporte público | Vicino ai mezzi pubblici | Nära kollektivtrafik | Dicht bij openbaar vervoer
Smoking area | Rygeområde | Raucherbereich | Strefa dla palących | Χώρος καπνιστών | Espace fumeurs | Zona de fumadores | Area fumatori | Rökområde | Rookruimte
